,Date,Predicted cases,Predicted day newCases
0,02/12/2021,108188977,0
1,02/13/2021,108871051,682074
2,02/14/2021,109568911,697860
3,02/15/2021,110283653,714742
4,02/16/2021,111016452,732799
5,02/17/2021,111768595,752143
6,02/18/2021,112541452,772857
7,02/19/2021,113336517,795065
8,02/20/2021,114155365,818848
9,02/21/2021,114999736,844371
10,02/22/2021,115871526,871790
