,Date,Predicted cases,Predicted day newCases
0,02/24/2021,112554296,0
1,02/25/2021,112998708,444412
2,02/26/2021,113446637,447929
3,02/27/2021,113898496,451859
4,02/28/2021,114354703,456207
5,03/01/2021,114815726,461023
6,03/02/2021,115282010,466284
7,03/03/2021,115754036,472026
8,03/04/2021,116232274,478238
9,03/05/2021,116717274,485000
10,03/06/2021,117209561,492287
