Location,Confirmed,NewCases,Case_Per_1M_people,Deaths,Mortality
Worldwide,137847272,0,17728,2965199,0.0215
United States,31369429,77312,95187,562994,0.0179
India,13873825,184372,10197,172085,0.0124
Brazil,13599994,82186,64352,358425,0.0264
France,5068534,38133,75564,98836,0.0195
Russia,4605444,8044,31384,101882,0.0221
United Kingdom,4375814,2471,65866,127123,0.0291
Turkey,3962760,59187,47655,34455,0.0087
Italy,3793033,13439,62962,115088,0.0303
Spain,3376548,6292,71688,76625,0.0227
Germany,3054025,29421,36729,79137,0.0259
Poland,2599850,13203,67741,59126,0.0227
Argentina,2579000,27001,57389,58174,0.0226
Colombia,2569314,16377,52015,66482,0.0259
Mexico,2286352,4512,18063,210282,0.092
Iran,2118212,24760,25419,65055,0.0307
Ukraine,1925224,11809,45970,39477,0.0205
Peru,1659707,6387,51654,55489,0.0334
Czechia,1585037,3853,148218,28038,0.0177
Indonesia,1577526,5702,5910,42782,0.0271
South Africa,1559960,847,26541,53423,0.0342
Netherlands,1364025,6685,78163,16822,0.0123
Chile,1088710,5790,56979,24518,0.0225
Canada,1085984,7549,28594,23439,0.0216
Romania,1012373,3883,52170,25441,0.0251
Iraq,941078,8179,24051,14796,0.0157
Belgium,930603,3374,80750,23566,0.0253
Philippines,884783,8558,8156,15286,0.0173
Sweden,876506,19105,84822,13660,0.0156
Israel,836334,176,91104,6309,0.0075
Portugal,828173,408,80588,16923,0.0204
Pakistan,734423,4503,3351,15754,0.0215
Hungary,728078,2837,74501,23980,0.0329
Bangladesh,697985,6028,4145,9891,0.0142
Jordan,672090,2790,63111,7937,0.0118
Serbia,648745,3572,93160,5808,0.009
Switzerland,625367,2241,72831,10472,0.0167
Austria,581263,2313,65291,9748,0.0168
Japan,511799,3449,4064,9422,0.0184
Morocco,502961,684,14027,8915,0.0177
Lebanon,499839,1985,73232,6738,0.0135
United Arab Emirates,487697,2022,49310,1537,0.0032
Saudi Arabia,400228,951,11696,6773,0.0169
Bulgaria,378059,2944,54008,14746,0.039
Slovakia,372038,870,68184,10716,0.0288
Malaysia,363940,1767,11117,1345,0.0037
Panama,359121,329,85124,6173,0.0172
Ecuador,347589,519,19911,17351,0.0499
Belarus,337635,754,35867,2373,0.007
Kazakhstan,327593,2359,17542,3276,0.01
Greece,301103,4017,28076,9054,0.0301
