Location,Confirmed,NewCases,Case_Per_1M_people,Deaths,Mortality
Worldwide,131593180,0,16923,2856632,0.0217
United States,30830260,76624,93551,555338,0.018
Brazil,13013601,28645,61578,332752,0.0256
India,12686049,96982,9324,165547,0.013
France,4799078,10961,71547,96243,0.0201
Russia,4538101,8525,30925,99049,0.0218
United Kingdom,4362150,2762,65660,126862,0.0291
Italy,3678944,10680,61068,111326,0.0303
Turkey,3529601,42551,42446,32456,0.0092
Spain,3311325,10360,70304,75783,0.0229
Germany,2902309,5980,34905,77136,0.0266
Colombia,2456409,10190,49729,64293,0.0262
Poland,2448463,9921,63797,55005,0.0225
Argentina,2407159,13667,53565,56471,0.0235
Mexico,2251705,1247,17789,204399,0.0908
Iran,1945964,13890,23352,63332,0.0325
Ukraine,1807327,10300,43155,36255,0.0201
Peru,1590209,7842,49491,53138,0.0334
Czechia,1553820,1924,145299,27057,0.0174
South Africa,1552416,452,26413,52995,0.0341
Indonesia,1537967,3712,5762,41815,0.0272
Netherlands,1307466,5320,74922,16629,0.0127
Chile,1032612,5827,54043,23677,0.0229
Canada,1020893,6536,26880,23141,0.0227
Romania,977986,3611,50398,24190,0.0247
Belgium,902964,1968,78352,23202,0.0257
Iraq,879991,6423,22490,14502,0.0165
Israel,834603,356,90915,6248,0.0075
Portugal,823494,159,80133,16885,0.0205
Sweden,813191,0,78695,13498,0.0166
Philippines,803398,8347,7406,13435,0.0167
Pakistan,696184,3953,3177,14924,0.0214
Hungary,689853,3874,70589,21928,0.0318
Bangladesh,644439,7075,3827,9318,0.0145
Jordan,639444,6537,60045,7283,0.0114
Serbia,621375,3706,89230,5497,0.0088
Switzerland,605342,0,70499,10377,0.0171
Austria,560972,2217,63012,9482,0.0169
Morocco,498329,132,13898,8857,0.0178
Japan,486792,1566,3865,9229,0.019
Lebanon,480502,1001,70399,6443,0.0134
United Arab Emirates,472148,2012,47738,1512,0.0032
Saudi Arabia,393377,695,11496,6704,0.017
Slovakia,365400,158,66968,10094,0.0276
Bulgaria,356859,3860,50980,13786,0.0386
Panama,356556,179,84516,6138,0.0172
Malaysia,352029,1070,10753,1295,0.0037
Ecuador,336777,1096,19292,16987,0.0504
Belarus,328290,986,34875,2294,0.007
Kazakhstan,307676,1816,16476,3249,0.0106
Georgia,284061,228,76289,3822,0.0135
Croatia,280164,138,68731,6083,0.0217
Nepal,278210,266,9275,3036,0.0109
Greece,277277,1863,25854,8453,0.0305
Bolivia,275392,458,24010,12344,0.0448
Azerbaijan,271834,1099,27002,3711,0.0137
Tunisia,261177,1133,22281,8993,0.0344
Palestine,256461,0,51533,2735,0.0107
Dominican Republic,254435,140,24563,3351,0.0132
Kuwait,238549,1357,53969,1365,0.0057
Ireland,238466,318,48454,4718,0.0198
Moldova,235790,703,87924,5178,0.022
Denmark,233797,479,40152,2430,0.0104
Paraguay,222663,1456,31130,4463,0.02
Slovenia,220425,284,105262,4082,0.0185
Lithuania,220212,605,78831,3615,0.0164
Ethiopia,217327,2138,2203,3000,0.0138
Costa Rica,216764,0,42856,2957,0.0136
Egypt,205732,767,2053,12210,0.0593
Armenia,197113,479,66649,3614,0.0183
Guatemala,195680,209,11785,6894,0.0352
Honduras,191136,505,20870,4681,0.0245
Qatar,184334,910,67097,306,0.0017
Bosnia and Herzegovina,176413,2935,53442,6953,0.0394
Venezuela,167548,1425,5200,1678,0.01
Oman,164274,1117,35216,1722,0.0105
Libya,163442,1148,23786,2757,0.0169
Nigeria,163330,135,792,2058,0.0126
Bahrain,149791,974,97059,541,0.0036
Myanmar (Burma),142511,14,2623,3206,0.0225
Kenya,139448,460,2932,2244,0.0161
North Macedonia,135167,300,65074,3977,0.0294
Albania,126795,264,44553,2274,0.0179
Uruguay,119958,2201,34093,1146,0.0096
Algeria,117739,117,2738,3108,0.0264
Estonia,109781,382,82644,950,0.0087
South Korea,106230,478,2052,1752,0.0165
Latvia,104224,119,54659,1934,0.0186
Norway,99249,573,18490,676,0.0068
Sri Lanka,93595,159,4293,581,0.0062
Montenegro,92740,221,149014,1317,0.0142
Kosovo,91079,0,50722,1892,0.0208
Ghana,90900,118,3002,752,0.0083
Mainland China,90329,0,64,4636,0.0513
Kyrgyzstan,89153,139,13646,1507,0.0169
Zambia,89009,79,4977,1222,0.0137
Uzbekistan,83802,179,2457,631,0.0075
Cuba,80610,1066,7191,436,0.0054
Finland,79737,341,14425,846,0.0106
Mozambique,68227,108,2269,782,0.0115
El Salvador,65491,1060,10097,2030,0.031
