Location,Confirmed,NewCases,Case_Per_1M_people,Deaths,Mortality
Worldwide,153819254,0,19782,3218906,0.0209
United States,32680630,40967,99166,584116,0.0179
India,20282833,357229,14908,222408,0.011
Brazil,14860812,77359,70318,411854,0.0277
France,5680378,3760,84686,105387,0.0186
Turkey,4929118,28997,59276,41527,0.0084
Russia,4839514,7770,32979,111535,0.023
United Kingdom,4423796,1946,66588,127543,0.0288
Italy,4059821,9113,67390,121738,0.03
Spain,3544945,0,75264,78399,0.0221
Germany,3448182,7534,41470,84285,0.0244
Argentina,3047354,26238,67811,65202,0.0214
Colombia,2919805,14551,59111,75627,0.0259
Poland,2805756,2523,73107,68105,0.0243
Iran,2575737,0,30910,73219,0.0284
Mexico,2349900,1027,18565,217345,0.0925
Ukraine,2140838,2879,51119,46607,0.0218
Peru,1810998,0,56362,62126,0.0343
Indonesia,1686373,4369,6318,46137,0.0274
Czechia,1636836,0,153062,29421,0.018
South Africa,1586148,1187,26987,54511,0.0344
Netherlands,1516802,9187,86918,17189,0.0113
Canada,1249950,6688,32912,24396,0.0195
Chile,1215815,4895,63631,26659,0.0219
Iraq,1086141,0,27759,15608,0.0144
Philippines,1062225,7242,9791,17525,0.0165
Romania,1059331,954,54590,28474,0.0269
Belgium,996896,1334,86503,24322,0.0244
Sweden,973604,0,94219,14048,0.0144
Israel,838697,76,91361,6369,0.0076
Pakistan,837523,3377,3822,18310,0.0219
Portugal,837457,180,81492,16977,0.0203
Hungary,784111,1219,80234,27908,0.0356
Bangladesh,765596,1914,4547,11705,0.0153
Jordan,714173,0,67062,8925,0.0125
Serbia,694473,1304,99727,6456,0.0093
Switzerland,665585,0,77515,10056,0.0151
Austria,623201,1091,70002,10260,0.0165
Japan,609625,4475,4840,10391,0.017
Lebanon,529205,0,77534,7368,0.0139
United Arab Emirates,527266,1699,53311,1598,0.003
Morocco,511912,56,14277,9032,0.0176
Saudi Arabia,421300,0,12312,7006,0.0166
Malaysia,417512,2500,12753,1551,0.0037
Bulgaria,405825,631,57975,16548,0.0408
Ecuador,388046,747,22229,18765,0.0484
Slovakia,383228,130,70235,11807,0.0308
Panama,365619,320,86664,6248,0.0171
Belarus,362594,697,38519,2582,0.0071
Greece,349936,0,32629,10668,0.0305
Nepal,343418,7388,11449,3362,0.0098
Croatia,335522,349,82312,7218,0.0215
Kazakhstan,330071,0,17675,3762,0.0114
Azerbaijan,322761,0,32061,4597,0.0142
Georgia,312954,509,84049,4163,0.0133
Tunisia,312747,1004,26680,10915,0.0349
Bolivia,308984,1423,26939,13035,0.0422
Palestine,298203,0,59920,3283,0.011
Paraguay,284453,1910,39769,6653,0.0234
Kuwait,279085,1253,63140,1601,0.0057
Dominican Republic,267681,226,25842,3499,0.0131
Ethiopia,259354,542,2629,3772,0.0145
Costa Rica,256676,5685,50746,3290,0.0128
Denmark,253673,761,43566,2490,0.0098
Moldova,251504,126,93784,5869,0.0233
Lithuania,251450,1113,90013,3976,0.0158
Ireland,250290,452,50856,4906,0.0196
Slovenia,242777,894,115936,4273,0.0176
Egypt,231803,1090,2313,13591,0.0586
Guatemala,228871,0,13784,7578,0.0331
Armenia,217407,0,73510,4165,0.0192
Honduras,214475,505,23419,5367,0.025
Qatar,208232,640,75796,483,0.0023
Uruguay,204120,1628,58013,2796,0.0137
Venezuela,200931,864,6236,2189,0.0109
Bosnia and Herzegovina,199463,280,60425,8713,0.0437
Oman,197802,0,42403,2062,0.0104
Bahrain,180462,0,116933,660,0.0037
Libya,178672,0,26003,3049,0.0171
Nigeria,165199,46,801,2063,0.0125
Kenya,160904,345,3383,2806,0.0174
North Macedonia,152814,67,73570,4992,0.0327
Myanmar (Burma),142842,4,2629,3209,0.0225
Albania,131276,38,46127,2399,0.0183
South Korea,124269,541,2400,1840,0.0148
Estonia,123344,401,92854,1177,0.0095
Algeria,122717,195,2854,3280,0.0267
Latvia,120378,0,63131,2159,0.0179
Sri Lanka,115590,1914,5302,709,0.0061
Norway,113952,483,21230,757,0.0066
Kosovo,105711,0,58870,2191,0.0207
Montenegro,97813,0,157165,1510,0.0154
Kyrgyzstan,96337,277,14745,1622,0.0168
Ghana,92683,0,3061,779,0.0084
Uzbekistan,92320,0,2707,655,0.0071
Zambia,91804,82,5133,1254,0.0137
Mainland China,90714,0,65,4636,0.0511
Finland,87529,0,15835,916,0.0105
Thailand,72788,1763,1095,303,0.0042
Cameroon,70607,0,2660,1064,0.0151
Mozambique,70031,0,2329,817,0.0117
El Salvador,69727,0,10750,2137,0.0306
Luxembourg,67642,0,110185,800,0.0118
Cyprus,66911,0,76391,321,0.0048
Singapore,61252,17,10739,31,0.0005
Afghanistan,60300,178,1871,2642,0.0438
Namibia,48654,0,19787,643,0.0132
Côte d'Ivoire,46154,0,1787,287,0.0062
Jamaica,46087,0,16902,793,0.0172
Botswana,44169,0,18885,702,0.0159
Uganda,40719,0,1010,334,0.0082
Senegal,40492,0,2498,1110,0.0274
Mongolia,40396,0,12202,126,0.0031
Zimbabwe,38327,34,2528,1574,0.0411
Madagascar,37751,0,1438,677,0.0179
Malawi,34123,24,1784,1149,0.0337
Sudan,33104,0,781,2349,0.071
Maldives,31931,585,85200,74,0.0023
Malta,30381,27,61555,416,0.0137
Democratic Republic of the Congo,30071,0,336,770,0.0256
Australia,29852,11,1163,910,0.0305
Cuba,29529,0,2634,220,0.0075
Angola,27133,0,872,603,0.0222
Rwanda,25311,0,2045,337,0.0133
Cape Verde,24548,0,44594,226,0.0092
Gabon,23201,0,10679,140,0.006
Syria,22977,79,1313,1610,0.0701
Guinea,22368,0,1831,146,0.0065
Réunion,20381,0,23700,148,0.0073
French Polynesia,18758,0,67984,141,0.0075
Mauritania,18476,0,4531,455,0.0246
Eswatini,18461,0,16887,671,0.0363
Cambodia,16299,938,1066,107,0.0066
French Guiana,16185,0,55038,77,0.0048
Somalia,14121,0,888,721,0.0511
Mali,13937,0,698,491,0.0352
Tajikistan,13714,0,1503,91,0.0066
Guyana,13564,0,17328,303,0.0223
Burkina Faso,13324,0,638,157,0.0118
Andorra,13316,0,171724,127,0.0095
Haiti,13149,0,1136,260,0.0198
Togo,13017,0,1727,123,0.0094
Belize,12674,0,31027,323,0.0255
Curaçao,12213,3,76973,111,0.0091
Hong Kong,11791,4,1572,210,0.0178
Trinidad and Tobago,11706,0,8582,185,0.0158
Papua New Guinea,11273,0,1262,121,0.0107
Djibouti,11247,0,10430,147,0.0131
Republic of the Congo,11016,0,1996,147,0.0133
Lesotho,10733,0,5347,318,0.0296
Aruba,10679,29,95086,100,0.0094
Guadeloupe,10614,0,26823,168,0.0158
South Sudan,10613,0,831,115,0.0108
The Bahamas,10576,0,27446,210,0.0199
Suriname,10543,54,18135,207,0.0196
Mayotte,8231,0,30443,61,0.0074
Benin,7884,0,672,100,0.0127
Equatorial Guinea,7694,0,5665,112,0.0146
Martinique,6928,0,18402,47,0.0068
Nicaragua,6898,0,1068,182,0.0264
Iceland,6483,11,17798,29,0.0045
Northern Cyprus,6403,0,19641,32,0.005
Yemen,6390,0,214,1240,0.1941
Central African Republic,6359,0,1157,87,0.0137
The Gambia,5914,0,2519,175,0.0296
Seychelles,5873,0,60159,28,0.0048
Niger,5261,0,236,191,0.0363
San Marino,5067,0,150920,90,0.0178
Chad,4828,0,297,170,0.0352
Saint Lucia,4573,0,25591,74,0.0162
Gibraltar,4286,0,127177,94,0.0219
Sierra Leone,4068,0,515,79,0.0194
Burundi,4052,0,370,6,0.0015
Barbados,3881,0,13521,44,0.0113
Comoros,3845,0,4401,146,0.038
Guinea-Bissau,3736,0,2328,67,0.0179
Eritrea,3681,0,1053,12,0.0033
Jersey,3233,0,30272,52,0.0161
Vietnam,2996,15,31,35,0.0117
Liechtenstein,2948,0,76079,57,0.0193
Timor-Leste,2653,0,1913,4,0.0015
New Zealand,2623,1,527,26,0.0099
Monaco,2465,0,64360,32,0.013
Bermuda,2422,0,37828,30,0.0124
Turks and Caicos Islands,2393,0,57845,17,0.0071
São Tomé and Príncipe,2310,0,11448,35,0.0152
Sint Maarten,2240,0,55153,27,0.0121
Liberia,2110,0,471,85,0.0403
Saint Vincent and the Grenadines,1882,0,17015,11,0.0058
Saint Martin,1602,0,44816,12,0.0075
Isle of Man,1590,0,19084,29,0.0182
Caribbean Netherlands,1560,1,60030,16,0.0103
Antigua and Barbuda,1232,0,12773,32,0.026
Mauritius,1214,0,959,17,0.014
Taiwan,1153,8,49,12,0.0104
Bhutan,1119,8,1509,1,0.0009
Laos,1026,0,144,0,0.0
Guernsey,822,0,0,14,0.017
Saint Barthélemy,712,0,0,1,0.0014
Faroe Islands,665,0,12758,1,0.0015
Cayman Islands,543,0,8251,2,0.0037
Tanzania,509,0,9,21,0.0413
Åland Islands,376,0,12582,0,0.0
Brunei,227,0,513,3,0.0132
British Virgin Islands,194,0,6460,1,0.0052
Dominica,174,0,2423,0,0.0
Grenada,160,0,1429,1,0.0062
New Caledonia,124,0,439,0,0.0
Fiji,121,0,137,2,0.0165
Falkland Islands (Islas Malvinas),63,0,0,0,0.0
Anguilla,58,0,3901,0,0.0
Macao,49,0,72,0,0.0
Saint Kitts and Nevis,45,0,852,0,0.0
Greenland,31,0,553,0,0.0
Vatican City,29,0,0,0,0.0
Saint Pierre and Miquelon,25,0,0,0,0.0
Montserrat,20,0,0,1,0.05
Western Sahara,10,0,17,1,0.1
