Location,Confirmed,NewCases,Case_Per_1M_people,Deaths,Mortality
Worldwide,123924888,0,15937,2727640,0.022
United States,29923601,55641,90800,543016,0.0181
Brazil,12047526,49293,57006,295425,0.0245
India,11686796,40715,8590,160166,0.0137
Russia,4416226,9195,30095,93812,0.0212
United Kingdom,4301925,5342,64753,126172,0.0293
France,4268711,81103,63640,92080,0.0216
Italy,3390181,13805,56275,105328,0.0311
Spain,3228803,16471,68552,73543,0.0228
Turkey,3035338,22216,36502,30178,0.0099
Germany,2678262,8261,32210,75009,0.028
Colombia,2342278,5048,47419,62148,0.0265
Argentina,2252172,6401,50117,54671,0.0243
Mexico,2197160,1388,17358,198239,0.0902
Poland,2073129,14579,54017,49365,0.0238
Iran,1808422,7357,21702,61877,0.0342
Ukraine,1604183,7982,38304,31677,0.0197
South Africa,1538451,599,26175,52196,0.0339
Czechia,1467333,0,137212,24810,0.0169
Peru,1466326,0,45635,50198,0.0342
Indonesia,1465928,5744,5492,39711,0.0271
Netherlands,1207806,6261,69211,16290,0.0135
Canada,941169,3781,24781,22731,0.0242
Chile,938094,6155,49096,22359,0.0238
Romania,900858,3743,46424,22268,0.0247
Belgium,839238,2232,72822,22728,0.0271
Israel,828764,992,90279,6109,0.0074
Portugal,817778,248,79577,16784,0.0205
Iraq,798547,4655,20409,14036,0.0176
Sweden,744272,0,72025,13262,0.0178
Philippines,671792,7998,6192,12972,0.0193
Pakistan,633741,3270,2892,13935,0.022
Switzerland,584252,3643,68043,10239,0.0175
Hungary,580642,9046,59414,18451,0.0318
Bangladesh,573687,2809,3407,8720,0.0152
Serbia,555897,4769,79827,4966,0.0089
Jordan,544724,9269,51151,5985,0.011
Austria,516565,2412,58024,9089,0.0176
Morocco,491834,125,13717,8769,0.0178
Japan,457104,786,3629,8857,0.0194
United Arab Emirates,442226,1871,44713,1445,0.0033
Lebanon,441014,1446,64613,5808,0.0132
Saudi Arabia,385424,404,11264,6613,0.0172
Panama,351213,222,83249,6052,0.0172
Slovakia,349270,401,64012,9104,0.0261
Malaysia,334156,1116,10207,1238,0.0037
Ecuador,312851,253,17922,16478,0.0527
Belarus,311428,983,33083,2166,0.007
Bulgaria,307890,4467,43984,12188,0.0396
Kazakhstan,284138,1111,15215,3204,0.0113
Georgia,277650,170,74568,3710,0.0134
Nepal,276056,150,9203,3019,0.0109
Bolivia,265207,573,23122,12074,0.0455
Croatia,257789,150,63242,5786,0.0224
Dominican Republic,249776,313,24114,3275,0.0131
Azerbaijan,246974,670,24533,3366,0.0136
Tunisia,245923,217,20980,8569,0.0348
Greece,238830,1705,22269,7531,0.0315
Ireland,231119,520,46961,4588,0.0199
Palestine,228044,0,45822,2478,0.0109
Denmark,226777,1272,38947,2402,0.0106
Kuwait,220455,1330,49875,1233,0.0056
Moldova,216094,1060,80580,4590,0.0212
Costa Rica,211903,0,41895,2896,0.0137
Lithuania,209340,329,74939,3486,0.0167
Slovenia,206317,291,98525,3976,0.0193
Paraguay,196112,1990,27418,3769,0.0192
Egypt,196061,643,1957,11637,0.0594
Ethiopia,188902,1537,1915,2674,0.0142
Guatemala,188119,208,11330,6710,0.0357
Armenia,184219,506,62289,3360,0.0182
Honduras,183280,871,20012,4469,0.0244
Qatar,174228,519,63418,274,0.0016
Nigeria,161868,131,785,2030,0.0125
Bosnia and Herzegovina,154627,3290,46842,5938,0.0384
Libya,152510,905,22195,2513,0.0165
Venezuela,151894,771,4714,1502,0.0099
Oman,151528,728,32483,1629,0.0108
Myanmar (Burma),142246,34,2618,3204,0.0225
Bahrain,136741,759,88603,502,0.0037
Kenya,122040,1130,2566,2023,0.0166
Albania,121544,344,42708,2145,0.0176
North Macedonia,119828,450,57689,3503,0.0292
Algeria,116255,98,2704,3061,0.0263
South Korea,99421,346,1920,1704,0.0171
Latvia,97586,177,51178,1828,0.0187
Estonia,96394,993,72566,797,0.0083
Sri Lanka,90514,314,4151,551,0.0061
Mainland China,90087,0,64,4636,0.0515
Ghana,89682,0,2962,725,0.0081
Norway,88035,1096,16401,649,0.0074
Montenegro,87638,426,140816,1208,0.0138
Kyrgyzstan,87462,73,13387,1490,0.017
Zambia,86535,86,4838,1182,0.0137
Uruguay,84230,2693,23939,811,0.0096
Uzbekistan,81446,107,2388,622,0.0076
Kosovo,80295,0,44716,1752,0.0218
Finland,72073,430,13039,808,0.0112
Cuba,67476,718,6019,397,0.0059
Mozambique,66306,94,2205,747,0.0113
El Salvador,63344,0,9766,1983,0.0313
Singapore,60208,12,10556,30,0.0005
Luxembourg,59497,542,96917,719,0.0121
Afghanistan,56153,50,1742,2464,0.0439
Namibia,42653,176,17346,494,0.0116
Cyprus,42628,410,48668,245,0.0057
Uganda,40687,16,1010,334,0.0082
Cameroon,40622,0,1530,601,0.0148
Côte d'Ivoire,40601,291,1572,222,0.0055
Senegal,37920,87,2339,1016,0.0268
Botswana,37559,2066,16059,485,0.0129
Zimbabwe,36684,19,2420,1514,0.0413
Jamaica,35896,558,13165,536,0.0149
Malawi,33270,33,1739,1098,0.033
Sudan,31147,158,735,1986,0.0638
Australia,29211,5,1138,909,0.0311
