Location,Confirmed,NewCases,Case_Per_1M_people,Deaths,Mortality
Worldwide,151770679,0,19518,3188298,0.021
United States,32419050,44682,98372,576337,0.0178
India,19164969,0,14086,211853,0.0111
Brazil,14725975,68333,69680,406565,0.0276
France,5642359,25670,84119,104706,0.0186
Turkey,4849408,28817,58318,40504,0.0084
Russia,4814558,9270,32809,110520,0.023
United Kingdom,4418530,1907,66509,127524,0.0289
Italy,4035617,12964,66989,121033,0.03
Spain,3524077,0,74821,78216,0.0222
Germany,3412373,18935,41039,83702,0.0245
Argentina,2993802,16502,66620,64096,0.0214
Colombia,2877746,18022,58259,74215,0.0258
Poland,2792142,6789,72752,67502,0.0242
Iran,2516157,0,30195,72090,0.0287
Mexico,2344755,3821,18524,216907,0.0925
Ukraine,2124070,10190,50718,45923,0.0216
Peru,1799445,16106,56003,61477,0.0342
Indonesia,1672880,4512,6268,45652,0.0273
Czechia,1632932,2152,152697,29316,0.018
South Africa,1582842,1632,26931,54406,0.0344
Netherlands,1496352,7758,85746,17148,0.0115
Canada,1227035,0,32308,24261,0.0198
Chile,1198245,7254,62712,26353,0.022
Iraq,1070366,0,27356,15498,0.0145
Romania,1056572,1307,54448,28194,0.0267
Philippines,1037460,8722,9563,17234,0.0166
Belgium,990229,3607,85924,24230,0.0245
Sweden,973604,5926,94219,14048,0.0144
Israel,838481,48,91338,6363,0.0076
Portugal,836493,460,81398,16974,0.0203
Pakistan,825519,4696,3767,17957,0.0218
Hungary,779348,2365,79747,27540,0.0353
Bangladesh,760584,1452,4517,11510,0.0151
Jordan,712077,0,66865,8871,0.0125
Serbia,690931,1374,99218,6386,0.0092
Switzerland,659974,0,76861,10027,0.0152
Austria,618870,2131,69516,10205,0.0165
Japan,593264,4684,4710,10199,0.0172
Lebanon,526578,0,77149,7278,0.0138
United Arab Emirates,521948,1712,52773,1591,0.003
Morocco,511249,363,14258,9023,0.0176
Saudi Arabia,418411,0,12228,6968,0.0167
Malaysia,408713,3788,12484,1506,0.0037
Bulgaria,404380,652,57768,16399,0.0406
Slovakia,382211,467,70049,11684,0.0306
Ecuador,381862,1173,21875,18631,0.0488
Panama,364844,268,86480,6235,0.0171
Belarus,359982,1244,38241,2552,0.0071
Greece,346422,0,32302,10453,0.0302
Croatia,332183,2007,81492,7081,0.0213
Nepal,323187,5657,10774,3279,0.0101
Kazakhstan,322695,0,17280,3699,0.0115
Azerbaijan,320322,0,31819,4538,0.0142
Georgia,310310,1476,83339,4110,0.0132
Tunisia,309119,1904,26371,10722,0.0347
Bolivia,306527,0,26724,13009,0.0424
Palestine,296462,0,59570,3249,0.011
Paraguay,279077,2212,39017,6385,0.0229
Kuwait,275270,1279,62277,1569,0.0057
Dominican Republic,266561,347,25734,3480,0.0131
Ethiopia,258062,620,2616,3709,0.0144
Moldova,251160,323,93656,5826,0.0232
Costa Rica,250991,2609,49623,3231,0.0129
Denmark,250554,0,43030,2483,0.0099
Ireland,248870,544,50568,4903,0.0197
