Location,Confirmed,NewCases,Case_Per_1M_people,Deaths,Mortality
Worldwide,122964412,497935,15814,2711747,0.0221
United States,29825308,54631,90501,541760,0.0182
Brazil,11950459,79069,56547,292752,0.0245
India,11599130,43846,8525,159755,0.0138
Russia,4397816,9548,29969,93090,0.0212
United Kingdom,4291271,5587,64593,126122,0.0294
France,4187608,35004,62431,91424,0.0218
Italy,3356331,23913,55713,104642,0.0312
Spain,3212332,0,68202,72910,0.0227
Turkey,2992694,21061,35989,29959,0.01
Germany,2669233,14499,32102,74706,0.028
Colombia,2331187,6761,47194,61907,0.0266
Argentina,2241739,6826,49884,54517,0.0243
Mexico,2193639,5729,17330,197827,0.0902
Poland,2036700,26456,53068,49159,0.0241
Iran,1793805,7540,21526,61724,0.0344
Ukraine,1584972,15376,37846,31344,0.0198
South Africa,1536801,1378,26147,52082,0.0339
Czechia,1459406,9710,136470,24530,0.0168
Indonesia,1455788,5656,5454,39447,0.0271
Peru,1451645,0,45178,49897,0.0344
Netherlands,1194580,7593,68453,16260,0.0136
Canada,933785,3454,24587,22676,0.0243
Chile,925089,7036,48416,22180,0.024
Romania,892848,6096,46011,22132,0.0248
Belgium,827941,0,71842,22650,0.0274
Israel,827220,611,90111,6082,0.0074
Portugal,817080,457,79509,16762,0.0205
Iraq,789390,4674,20175,13969,0.0177
Sweden,744272,0,72025,13262,0.0178
Philippines,656056,7990,6047,12930,0.0197
Pakistan,626802,3667,2860,13843,0.0221
Switzerland,580609,0,67618,10203,0.0176
Bangladesh,568706,1868,3378,8668,0.0152
Hungary,560971,11132,57402,18068,0.0322
Serbia,546896,4687,78535,4900,0.009
Jordan,526666,5205,49455,5788,0.011
Austria,511440,3344,57448,9052,0.0177
Morocco,491463,444,13706,8763,0.0178
Japan,455212,1596,3614,8802,0.0193
United Arab Emirates,438638,2013,44350,1433,0.0033
Lebanon,436575,2253,63963,5715,0.0131
Saudi Arabia,384653,382,11241,6602,0.0172
Panama,350665,445,83119,6042,0.0172
Slovakia,347944,1795,63768,8978,0.0258
Malaysia,331713,1671,10132,1229,0.0037
Ecuador,310868,1225,17808,16435,0.0529
Belarus,309293,1355,32857,2148,0.0069
Bulgaria,302480,2541,43211,11966,0.0396
Kazakhstan,281798,1222,15090,3201,0.0114
Georgia,277218,422,74452,3691,0.0133
Nepal,275829,79,9195,3016,0.0109
Bolivia,264411,603,23053,12051,0.0456
Croatia,256805,1186,63000,5753,0.0224
Dominican Republic,248989,487,24038,3269,0.0131
Azerbaijan,245490,1187,24385,3339,0.0136
Tunisia,245405,629,20935,8526,0.0347
Greece,235611,2532,21969,7421,0.0315
Ireland,229831,525,46699,4585,0.0199
Denmark,224848,590,38615,2399,0.0107
Palestine,223638,1851,44937,2427,0.0109
Kuwait,217933,1347,49305,1215,0.0056
Moldova,214203,1635,79875,4531,0.0212
Costa Rica,211903,0,41895,2896,0.0137
Lithuania,208650,602,74692,3464,0.0166
Slovenia,205509,1027,98139,3967,0.0193
Egypt,194771,644,1944,11557,0.0593
Paraguay,192599,2100,26927,3695,0.0192
Guatemala,187659,919,11302,6685,0.0356
Ethiopia,185641,1778,1882,2647,0.0143
Armenia,183127,1071,61920,3332,0.0182
Honduras,181931,574,19865,4430,0.0243
Qatar,173206,509,63046,272,0.0016
Nigeria,161651,112,784,2030,0.0126
Bosnia and Herzegovina,151337,0,45846,5773,0.0381
Libya,150341,0,21880,2487,0.0165
Venezuela,150306,1161,4665,1483,0.0099
Oman,149135,0,31970,1620,0.0109
Myanmar (Burma),142212,0,2617,3204,0.0225
Bahrain,135326,816,87686,498,0.0037
Albania,120541,519,42355,2133,0.0177
Kenya,120163,1274,2526,1994,0.0166
North Macedonia,118736,1299,57163,3448,0.029
Algeria,116066,96,2699,3055,0.0263
South Korea,98665,456,1905,1696,0.0172
Latvia,97149,625,50949,1821,0.0187
Estonia,94028,1248,70785,780,0.0083
Mainland China,90087,0,64,4636,0.0515
Sri Lanka,89655,158,4112,544,0.0061
Ghana,89276,268,2948,716,0.008
Kyrgyzstan,87389,150,13376,1490,0.0171
Montenegro,86782,500,139440,1194,0.0138
Norway,86362,820,16090,648,0.0075
Zambia,86273,214,4824,1178,0.0137
Uzbekistan,81339,244,2385,622,0.0076
Kosovo,80295,0,44716,1752,0.0218
Uruguay,79923,1522,22715,776,0.0097
Finland,71123,856,12867,805,0.0113
Mozambique,66064,265,2197,743,0.0112
Cuba,65962,813,5884,392,0.0059
El Salvador,62531,0,9641,1975,0.0316
Singapore,60184,17,10552,30,0.0005
Luxembourg,58955,0,96034,714,0.0121
Afghanistan,56093,24,1741,2462,0.0439
Namibia,42203,238,17163,492,0.0117
Cyprus,41882,407,47816,242,0.0058
Uganda,40651,0,1009,334,0.0082
Cameroon,40622,0,1530,601,0.0148
Côte d'Ivoire,39913,479,1546,217,0.0054
Senegal,37693,152,2325,1007,0.0267
Zimbabwe,36662,10,2418,1510,0.0412
Botswana,35493,0,15175,458,0.0129
Jamaica,34665,695,12713,524,0.0151
Malawi,33216,42,1736,1093,0.0329
Sudan,30989,0,731,1959,0.0632
Australia,29196,4,1138,909,0.0311
Malta,27904,210,56536,369,0.0132
Thailand,27594,0,415,90,0.0033
Democratic Republic of the Congo,26846,66,300,712,0.0265
Maldives,22373,81,59697,65,0.0029
Madagascar,22275,162,849,345,0.0155
Angola,21696,54,697,526,0.0242
Rwanda,20761,80,1678,287,0.0138
Mayotte,19006,22,70296,151,0.0079
French Polynesia,18576,0,67324,141,0.0076
Guinea,18562,0,1519,108,0.0058
Gabon,17711,0,8152,106,0.006
Mauritania,17587,17,4313,446,0.0254
Eswatini,17283,9,15809,665,0.0385
Syria,17240,163,985,1153,0.0669
French Guiana,16764,0,57007,87,0.0052
Cape Verde,16440,66,29865,159,0.0097
Réunion,14631,0,17014,87,0.0059
Tajikistan,13308,0,1458,90,0.0068
Haiti,12700,12,1097,251,0.0198
Burkina Faso,12516,66,600,145,0.0116
Belize,12400,0,30356,316,0.0255
Andorra,11481,50,148060,113,0.0098
Hong Kong,11371,8,1516,203,0.0179
Guadeloupe,10725,0,27104,168,0.0157
Lesotho,10535,0,5249,309,0.0293
Somalia,9968,43,627,419,0.042
South Sudan,9849,40,771,106,0.0108
Guyana,9585,99,12245,214,0.0223
Republic of the Congo,9564,0,1733,134,0.014
Mali,9270,79,464,367,0.0396
Suriname,9061,6,15586,176,0.0194
Togo,8839,144,1173,102,0.0115
The Bahamas,8800,0,22837,186,0.0211
Aruba,8731,67,77741,82,0.0094
Trinidad and Tobago,7839,18,5747,140,0.0179
Martinique,7037,0,18692,47,0.0067
Benin,6818,0,581,90,0.0132
Equatorial Guinea,6736,70,4959,100,0.0148
Nicaragua,6582,0,1019,176,0.0267
Djibouti,6518,17,6044,63,0.0097
Iceland,6097,0,16738,29,0.0048
Curaçao,5839,163,36801,23,0.0039
The Gambia,5153,0,2195,160,0.031
Central African Republic,5075,0,923,64,0.0126
Niger,4918,7,220,185,0.0376
Mongolia,4806,0,1452,4,0.0008
