Location,Confirmed,NewCases,Case_Per_1M_people,Deaths,Mortality
Worldwide,166195983,0,21373,3444498,0.0207
India,26289290,257299,19323,295525,0.0112
Brazil,15970949,76855,75571,446309,0.0279
France,5863138,0,87410,107390,0.0183
Turkey,5169951,9528,62172,45840,0.0089
Russia,4926717,8811,33573,115764,0.0235
United Kingdom,4446824,0,66934,127668,0.0287
Italy,4183476,5215,69443,125028,0.0299
Germany,3646600,8096,43856,87303,0.0239
Spain,3636453,4792,77206,79620,0.0219
Argentina,3482512,35468,77495,73391,0.0211
Colombia,3192050,14838,64622,83719,0.0262
Poland,2863031,1680,74599,72691,0.0254
Iran,2815882,11250,33792,78194,0.0278
Mexico,2392744,2604,18903,221256,0.0925
Ukraine,2232510,5110,53307,51076,0.0229
Peru,1893334,0,58925,66471,0.0351
Indonesia,1758898,0,6590,48887,0.0278
Czechia,1656874,672,154936,29990,0.0181
South Africa,1628335,3332,27705,55719,0.0342
Netherlands,1619648,4148,92811,17518,0.0108
Canada,1355765,0,35698,25203,0.0186
Chile,1315913,7602,68870,28290,0.0215
Philippines,1171403,6248,10798,19763,0.0169
Iraq,1160494,4357,29659,16137,0.0139
Romania,1074781,484,55386,29826,0.0278
Sweden,1058341,3168,102419,14366,0.0136
Belgium,1044612,2906,90643,24809,0.0237
Pakistan,897468,4007,4095,20177,0.0225
Portugal,844288,559,82156,17017,0.0202
Israel,839290,27,91426,6397,0.0076
Hungary,801025,657,81965,29427,0.0367
Bangladesh,786698,1504,4672,12310,0.0156
Jordan,726432,0,68213,9295,0.0128
Japan,710895,5254,5644,12119,0.017
Serbia,709269,391,101851,6752,0.0095
Switzerland,686152,0,79910,10768,0.0157
Austria,640293,677,71922,10534,0.0165
United Arab Emirates,552920,1490,55905,1644,0.003
Lebanon,537887,450,78806,7664,0.0142
Morocco,516449,358,14403,9115,0.0176
Malaysia,498795,6493,15236,2149,0.0043
Nepal,497052,8407,16570,6024,0.0121
Saudi Arabia,438705,1136,12821,7224,0.0165
Kazakhstan,425397,2267,22780,3409,0.008
Ecuador,416621,1366,23866,20107,0.0483
Bulgaria,416417,362,59488,17474,0.042
Slovakia,388529,138,71207,12280,0.0316
Greece,387426,1982,36125,11697,0.0302
Belarus,383302,1756,40719,2752,0.0072
Panama,373308,508,88487,6321,0.0169
Croatia,353217,525,86653,7856,0.0222
Bolivia,343065,2858,29910,13780,0.0402
Georgia,335769,1064,90177,4569,0.0136
Tunisia,332833,1159,28394,12141,0.0365
Azerbaijan,331883,406,32967,4839,0.0146
Paraguay,327229,3166,45749,8115,0.0248
Palestine,305201,0,61326,3459,0.0113
Costa Rica,299219,2587,59157,3765,0.0126
Kuwait,297206,1345,67240,1719,0.0058
Dominican Republic,281630,636,27189,3603,0.0128
Denmark,271908,1351,46697,2506,0.0092
Lithuania,269363,679,96426,4161,0.0154
Ethiopia,268520,485,2722,4060,0.0151
Uruguay,258540,4599,73479,3760,0.0145
Ireland,254870,0,51787,4941,0.0194
Moldova,254499,120,94901,6067,0.0238
Egypt,251539,1148,2510,14611,0.0581
Slovenia,251148,337,119934,4348,0.0173
Guatemala,246156,909,14825,7977,0.0324
Honduras,231560,1249,25284,6133,0.0265
Armenia,221699,140,74962,4371,0.0197
Venezuela,221042,1178,6860,2483,0.0112
Qatar,214830,367,78197,541,0.0025
Bahrain,212151,2858,137466,794,0.0037
Oman,208607,0,44719,2239,0.0107
Bosnia and Herzegovina,203150,132,61542,9108,0.0448
Libya,182899,250,26618,3105,0.017
Kenya,167535,659,3522,3043,0.0182
Nigeria,165944,43,805,2067,0.0125
Sri Lanka,158333,3547,7262,1133,0.0072
North Macedonia,154982,45,74613,5280,0.0341
Myanmar (Burma),143211,28,2635,3216,0.0225
South Korea,135344,666,2614,1926,0.0142
Albania,132153,35,46435,2441,0.0185
Cuba,130543,1197,11646,849,0.0065
Latvia,130271,477,68319,2309,0.0177
Estonia,128309,225,96592,1239,0.0097
Algeria,126434,278,2940,3405,0.0269
Thailand,123066,3481,1851,735,0.006
Norway,121511,714,22638,781,0.0064
Kosovo,106770,58,59460,2244,0.021
Kyrgyzstan,101878,298,15593,1735,0.017
Montenegro,99153,55,159318,1572,0.0159
Uzbekistan,97856,313,2869,678,0.0069
Ghana,93521,65,3088,783,0.0084
Zambia,92920,166,5195,1266,0.0136
Finland,91157,211,16491,932,0.0102
Mainland China,90954,0,65,4636,0.051
Cameroon,77733,304,2928,1239,0.0159
El Salvador,72220,741,11134,2206,0.0305
Mozambique,70551,24,2346,831,0.0118
Luxembourg,69545,80,113285,810,0.0116
Afghanistan,65080,505,2020,2782,0.0427
Singapore,61770,40,10830,32,0.0005
Namibia,52433,606,21323,759,0.0145
Maldives,52405,1603,139831,120,0.0023
Mongolia,51931,684,15686,244,0.0047
Botswana,51620,0,22071,784,0.0152
Cyprus,49988,0,57070,268,0.0054
Jamaica,47776,104,17522,904,0.0189
Côte d'Ivoire,46874,40,1815,298,0.0064
Senegal,41023,62,2531,1129,0.0275
Uganda,40734,0,1011,334,0.0082
Madagascar,40692,173,1550,786,0.0193
Zimbabwe,38664,29,2550,1586,0.041
Sudan,34889,0,823,2568,0.0736
Malawi,34261,10,1791,1153,0.0337
Angola,31909,248,1025,709,0.0222
Democratic Republic of the Congo,30863,0,345,779,0.0252
Malta,30497,6,61790,417,0.0137
Australia,30004,4,1169,910,0.0303
Cape Verde,29033,135,52741,254,0.0087
Rwanda,26601,72,2150,349,0.0131
Cambodia,24157,460,1580,165,0.0068
Gabon,24107,68,11096,147,0.0061
Syria,23996,57,1371,1724,0.0718
Réunion,23566,0,27404,176,0.0075
Guinea,22963,0,1879,155,0.0067
French Guiana,22382,267,76111,110,0.0049
Mayotte,20176,0,74623,171,0.0085
Mauritania,19049,38,4672,458,0.024
Trinidad and Tobago,18935,708,13882,348,0.0184
French Polynesia,18758,0,67984,141,0.0075
Eswatini,18546,7,16964,672,0.0362
Guadeloupe,16079,0,40634,245,0.0152
Guyana,15743,0,20112,349,0.0222
Papua New Guinea,14910,0,1669,154,0.0103
Somalia,14594,0,918,767,0.0526
Mali,14236,10,713,512,0.036
Haiti,13624,26,1177,276,0.0203
Andorra,13569,0,174987,127,0.0094
Burkina Faso,13410,2,643,165,0.0123
Togo,13352,12,1771,125,0.0094
Tajikistan,13308,0,1458,90,0.0068
Belize,12764,3,31247,323,0.0253
Suriname,12742,171,21917,243,0.0191
Curaçao,12268,2,77320,122,0.0099
Hong Kong,11829,1,1577,210,0.0178
Martinique,11669,0,30995,90,0.0077
Djibouti,11490,5,10655,152,0.0132
Republic of the Congo,11476,0,2080,150,0.0131
The Bahamas,11396,0,29574,222,0.0195
Aruba,10902,10,97071,106,0.0097
Lesotho,10806,0,5384,320,0.0296
South Sudan,10652,0,834,115,0.0108
Seychelles,9764,0,100015,35,0.0036
Equatorial Guinea,8436,0,6211,113,0.0134
Benin,8025,0,684,101,0.0126
Nicaragua,7193,0,1113,185,0.0257
Northern Cyprus,7015,0,21518,33,0.0047
Central African Republic,7010,0,1275,96,0.0137
Yemen,6632,19,222,1302,0.1963
Iceland,6555,0,17995,29,0.0044
The Gambia,5968,0,2542,175,0.0293
Niger,5364,3,240,192,0.0358
Timor-Leste,5287,166,3811,11,0.0021
San Marino,5087,0,151516,90,0.0177
Vietnam,4941,132,51,41,0.0083
Saint Lucia,4935,12,27617,77,0.0156
Chad,4919,1,303,173,0.0352
Burundi,4451,33,406,6,0.0013
Gibraltar,4286,0,127177,94,0.0219
Sierra Leone,4115,0,521,79,0.0192
Barbados,3985,10,13884,47,0.0118
Eritrea,3921,15,1121,14,0.0036
Comoros,3868,4,4427,146,0.0377
Guinea-Bissau,3749,3,2337,68,0.0181
Jersey,3233,0,30272,52,0.0161
Taiwan,3139,314,133,15,0.0048
Liechtenstein,2997,3,77344,58,0.0194
New Zealand,2662,0,535,26,0.0098
Monaco,2500,1,65274,32,0.0128
Bermuda,2488,5,38859,32,0.0129
Turks and Caicos Islands,2408,1,58208,17,0.0071
Sint Maarten,2356,10,58010,27,0.0115
São Tomé and Príncipe,2335,1,11572,35,0.015
Liberia,2142,0,479,85,0.0397
Saint Vincent and the Grenadines,1962,8,17738,12,0.0061
Saint Martin,1915,0,53572,12,0.0063
Laos,1763,12,248,2,0.0011
Caribbean Netherlands,1607,1,61839,17,0.0106
Isle of Man,1591,0,19096,29,0.0182
Bhutan,1374,36,1853,1,0.0007
Mauritius,1292,4,1021,17,0.0132
Antigua and Barbuda,1255,0,13012,42,0.0335
Saint Barthélemy,1005,0,0,1,0.001
Guernsey,822,0,0,14,0.017
Faroe Islands,671,1,12873,1,0.0015
Cayman Islands,574,0,8722,2,0.0035
Tanzania,509,0,9,21,0.0413
Åland Islands,382,0,12782,0,0.0
British Virgin Islands,248,0,8258,1,0.004
Brunei,235,0,531,3,0.0128
Fiji,195,5,220,4,0.0205
Dominica,184,0,2562,0,0.0
Grenada,161,0,1437,1,0.0062
New Caledonia,125,0,443,0,0.0
Anguilla,109,0,7331,0,0.0
Falkland Islands (Islas Malvinas),63,0,0,0,0.0
Macao,50,0,74,0,0.0
Saint Kitts and Nevis,46,0,871,0,0.0
Greenland,34,0,606,0,0.0
Vatican City,27,0,0,0,0.0
Saint Pierre and Miquelon,25,0,0,0,0.0
Montserrat,20,0,0,1,0.05
Western Sahara,10,0,17,1,0.1
United States,0,0,0,515151,inf
