Location,Confirmed,NewCases,Case_Per_1M_people,Deaths,Mortality
Worldwide,121585388,0,15636,2685770,0.0221
United States,29658824,58856,89996,538134,0.0181
Brazil,11693838,90303,55333,284775,0.0244
India,11474605,35871,8434,159216,0.0139
Russia,4368943,8910,29772,91815,0.021
United Kingdom,4274579,5758,64342,125831,0.0294
France,4080012,0,60827,90660,0.0222
Italy,3281810,23040,54476,103432,0.0315
Spain,3206116,6092,68070,72793,0.0227
Turkey,2930554,18912,35242,29696,0.0101
Germany,2610769,7705,31399,74043,0.0284
Colombia,2314154,4554,46849,61498,0.0266
Argentina,2218425,8304,49366,54231,0.0244
Mexico,2175462,6455,17187,195908,0.0901
Poland,1956974,25053,50991,48032,0.0245
Iran,1771115,7802,21254,61492,0.0347
Ukraine,1538516,11921,36736,30535,0.0198
South Africa,1532497,1531,26074,51634,0.0337
Indonesia,1437283,6825,5385,38915,0.0271
Peru,1435598,16624,44679,49523,0.0345
Czechia,1426991,14029,133439,23902,0.0167
Netherlands,1173487,5924,67245,16165,0.0138
Canada,922848,3599,24299,22590,0.0245
Chile,904212,3430,47323,21816,0.0241
Romania,874985,6186,45090,21787,0.0249
Israel,824178,1475,89780,6057,0.0073
Belgium,818142,5116,70992,22600,0.0276
Portugal,815570,673,79362,16722,0.0205
Iraq,774015,5663,19782,13860,0.0179
Sweden,732070,6781,70845,13228,0.0181
Philippines,635698,4378,5860,12866,0.0202
Pakistan,615810,3495,2810,13717,0.0223
Switzerland,577111,1858,67211,10163,0.0176
Bangladesh,562752,1865,3342,8608,0.0153
Hungary,532578,3456,54496,17421,0.0327
Serbia,531558,5446,76332,4810,0.009
Jordan,504915,9535,47413,5553,0.011
Austria,501224,3335,56301,8956,0.0179
Morocco,490088,466,13668,8745,0.0178
Japan,450687,1545,3578,8718,0.0193
United Arab Emirates,432364,2051,43716,1414,0.0033
Lebanon,426977,3544,62557,5536,0.013
Saudi Arabia,383499,393,11207,6585,0.0172
Panama,349020,440,82730,6018,0.0172
Slovakia,342430,2892,62758,8738,0.0255
Malaysia,327253,1219,9996,1220,0.0037
Ecuador,305598,2744,17506,16300,0.0533
Belarus,305270,1124,32429,2121,0.0069
Bulgaria,291769,4201,41681,11715,0.0402
Kazakhstan,277906,1243,14882,3199,0.0115
Georgia,276067,382,74143,3665,0.0133
Nepal,275518,94,9185,3014,0.0109
Bolivia,262056,1068,22847,12015,0.0458
Croatia,253310,1445,62143,5709,0.0225
Dominican Republic,247364,570,23881,3248,0.0131
Tunisia,243439,766,20768,8463,0.0348
Azerbaijan,242491,840,24087,3307,0.0136
Ireland,228215,552,46371,4566,0.02
Greece,227247,3458,21189,7252,0.0319
Denmark,222629,787,38234,2396,0.0108
Palestine,218061,0,43817,2358,0.0108
Kuwait,213673,1504,48341,1194,0.0056
Costa Rica,210447,0,41607,2886,0.0137
Moldova,208928,1916,77908,4436,0.0212
Lithuania,206889,599,74062,3427,0.0166
Slovenia,202573,1076,96737,3948,0.0195
Egypt,192840,645,1925,11431,0.0593
Paraguay,185888,2540,25988,3588,0.0193
Guatemala,184934,949,11138,6619,0.0358
Honduras,180271,756,19684,4390,0.0244
Armenia,180141,854,60910,3282,0.0182
Ethiopia,179812,1704,1822,2592,0.0144
Qatar,171701,489,62498,270,0.0016
Nigeria,161261,187,782,2027,0.0126
Oman,148558,548,31847,1617,0.0109
Libya,148175,1054,21564,2422,0.0163
Bosnia and Herzegovina,148163,1726,44884,5672,0.0383
Venezuela,147577,549,4580,1459,0.0099
Myanmar (Burma),142190,28,2617,3203,0.0225
Bahrain,133137,768,86268,489,0.0037
Albania,118938,446,41792,2092,0.0176
Kenya,116310,1279,2445,1937,0.0167
Algeria,115688,148,2690,3048,0.0263
North Macedonia,115222,1293,55472,3388,0.0294
South Korea,97294,445,1879,1688,0.0173
Latvia,95420,818,50042,1789,0.0187
Mainland China,90062,0,64,4636,0.0515
Estonia,89331,1783,67249,745,0.0083
Sri Lanka,88862,470,4076,537,0.006
Ghana,88421,193,2920,705,0.008
Kyrgyzstan,87143,98,13338,1485,0.017
Zambia,85502,262,4781,1170,0.0137
Montenegro,85253,553,136984,1169,0.0137
Norway,83519,1064,15560,648,0.0078
Uzbekistan,80858,115,2371,622,0.0077
Kosovo,78340,0,43627,1723,0.022
Uruguay,75138,1368,21355,740,0.0098
Finland,68693,842,12427,804,0.0117
Mozambique,65197,268,2168,733,0.0112
Cuba,63725,727,5685,380,0.006
El Salvador,62531,0,9641,1962,0.0314
Singapore,60137,9,10544,30,0.0005
Luxembourg,58408,297,95143,704,0.0121
Afghanistan,56016,21,1738,2460,0.0439
Namibia,41546,80,16896,477,0.0115
Cyprus,40726,382,46496,241,0.0059
Cameroon,40622,0,1530,601,0.0148
Uganda,40607,14,1008,334,0.0082
Côte d'Ivoire,38282,162,1482,214,0.0056
Senegal,37254,192,2298,990,0.0266
Zimbabwe,36552,17,2411,1508,0.0413
Botswana,34999,0,14964,447,0.0128
Malawi,32970,76,1723,1088,0.033
Jamaica,32728,821,12003,507,0.0155
Sudan,30989,0,731,1959,0.0632
Australia,29166,13,1136,909,0.0312
Thailand,27494,92,414,89,0.0032
Malta,27272,211,55256,361,0.0132
Democratic Republic of the Congo,26846,0,300,712,0.0265
Maldives,21961,142,58598,64,0.0029
Madagascar,21826,138,831,337,0.0154
Angola,21489,43,690,522,0.0243
Rwanda,20480,68,1655,283,0.0138
Mayotte,18845,0,69700,137,0.0073
French Polynesia,18566,5,67288,141,0.0076
Guinea,18285,303,1497,106,0.0058
Mauritania,17521,34,4297,445,0.0254
Gabon,17297,352,7962,105,0.0061
Eswatini,17257,14,15785,663,0.0384
Syria,16776,120,959,1120,0.0668
French Guiana,16764,0,57007,87,0.0052
Cape Verde,16250,96,29520,158,0.0097
