Location,Confirmed,NewCases,Case_Per_1M_people,Deaths,Mortality
Worldwide,174949567,0,22499,3775261,0.0216
United States,33434262,11841,101452,598889,0.0179
India,29274823,92291,21517,363079,0.0124
Brazil,17210969,88092,81439,482019,0.028
France,5667993,4276,84501,109398,0.0193
Turkey,5313098,6408,63894,48524,0.0091
Russia,5108217,11560,34810,123178,0.0241
United Kingdom,4542986,7232,68382,127867,0.0281
Italy,4239868,2078,70379,126855,0.0299
Argentina,4066156,27628,90482,83941,0.0206
Spain,3729458,14004,79181,80465,0.0216
Germany,3718617,2747,44722,89693,0.0241
Colombia,3665137,31656,74200,94046,0.0257
Iran,3003112,12398,36038,81672,0.0272
Poland,2876667,378,74954,74447,0.0259
Mexico,2445538,3672,19320,229580,0.0939
Ukraine,2279556,1924,54431,53607,0.0235
Peru,1983570,0,61733,186511,0.094
Indonesia,1885942,8892,7066,52373,0.0278
South Africa,1722086,9147,29300,57410,0.0333
Netherlands,1669121,1561,95646,17705,0.0106
Czechia,1664649,267,155663,30211,0.0181
Chile,1453477,7709,76070,30339,0.0209
Canada,1401881,1466,36912,25886,0.0185
Philippines,1293687,7470,11925,22312,0.0172
Iraq,1242540,4684,31756,16648,0.0134
Sweden,1082729,831,104779,14565,0.0135
Romania,1079427,133,55626,31531,0.0292
Belgium,1074204,846,93211,25068,0.0233
Pakistan,938737,1303,4284,21576,0.023
Portugal,855432,910,83241,17043,0.0199
Israel,839630,45,91463,6428,0.0077
Bangladesh,820395,2576,4873,12989,0.0158
Hungary,806591,206,82535,29896,0.0371
Japan,770357,2044,6116,13872,0.018
Jordan,739847,0,69473,9530,0.0129
Serbia,714462,210,102597,6945,0.0097
Switzerland,699697,899,81488,10853,0.0155
Austria,647971,283,72784,10650,0.0164
Malaysia,639562,5671,19536,3684,0.0058
Nepal,601687,2874,20059,8238,0.0137
United Arab Emirates,589423,0,59595,1710,0.0029
Lebanon,541940,0,79400,7780,0.0144
Morocco,522765,376,14579,9192,0.0176
Saudi Arabia,461242,0,13479,7503,0.0163
Kazakhstan,455165,1190,24374,3484,0.0077
Ecuador,436023,2153,24977,20949,0.048
Bulgaria,420090,100,60013,17887,0.0426
Greece,413170,750,38525,12370,0.0299
Belarus,402819,966,42792,2949,0.0073
Bolivia,400047,7072,34878,15321,0.0383
Slovakia,390809,116,71624,12433,0.0318
Panama,385353,841,91342,6419,0.0167
Paraguay,384989,2758,53824,10412,0.027
Tunisia,362658,2373,30938,13305,0.0367
Croatia,358245,184,87886,8110,0.0226
Georgia,351954,705,94523,4996,0.0142
Costa Rica,338048,2041,66834,4298,0.0127
Azerbaijan,334992,75,33276,4951,0.0148
Uruguay,330027,3622,93796,4862,0.0147
Kuwait,323357,1709,73156,1810,0.0056
Palestine,311018,0,62495,3524,0.0113
Dominican Republic,305569,1141,29500,3695,0.0121
Denmark,288704,475,49582,2522,0.0087
Lithuania,277222,220,99239,4327,0.0156
Ethiopia,273678,280,2774,4231,0.0155
Egypt,271047,755,2705,15510,0.0572
Guatemala,267447,1785,16107,8388,0.0314
Slovenia,256103,196,122300,4393,0.0172
Bahrain,255954,1034,165849,1188,0.0046
Moldova,255661,60,95334,6147,0.024
Ireland,254870,0,51787,4941,0.0194
Venezuela,247847,1083,7692,2781,0.0112
Honduras,244295,828,26675,6567,0.0269
Oman,230219,1640,49352,2467,0.0107
Armenia,223460,76,75557,4478,0.02
Qatar,219281,143,79817,574,0.0026
Sri Lanka,216134,2738,9913,1910,0.0088
Bosnia and Herzegovina,204567,55,61971,9473,0.0463
Libya,188386,229,27416,3155,0.0167
Thailand,187538,2310,2821,1375,0.0073
Kenya,174285,624,3664,3362,0.0193
Nigeria,166982,0,810,2117,0.0127
North Macedonia,155487,18,74857,5468,0.0352
Cuba,153578,1158,13701,1057,0.0069
South Korea,146859,556,2836,1981,0.0135
Myanmar (Burma),144876,161,2666,3237,0.0223
Latvia,135584,196,71106,2443,0.018
Albania,132426,11,46531,2452,0.0185
Algeria,132355,321,3078,3552,0.0268
Estonia,130364,54,98139,1266,0.0097
Norway,127676,210,23787,789,0.0062
Kyrgyzstan,108667,494,16632,1869,0.0172
Kosovo,107125,0,59658,2252,0.021
Zambia,105909,2146,5922,1332,0.0126
Uzbekistan,102605,243,3009,702,0.0068
Montenegro,99890,23,160502,1596,0.016
Ghana,94369,0,3116,789,0.0084
Finland,93613,93,16936,964,0.0103
Mainland China,91359,0,65,4636,0.0507
Afghanistan,85892,1842,2665,3356,0.0391
Cameroon,79904,0,3010,1302,0.0163
El Salvador,75351,368,11617,2284,0.0303
Mozambique,71279,40,2371,840,0.0118
Mongolia,70482,1460,21290,334,0.0047
Luxembourg,70383,40,114650,818,0.0116
Maldives,69536,323,185541,191,0.0027
Singapore,62236,13,10912,34,0.0005
Namibia,61374,1045,24960,968,0.0158
Botswana,59480,1385,25431,896,0.0151
Cyprus,49988,0,57070,268,0.0054
Jamaica,48810,0,17901,960,0.0197
Côte d'Ivoire,47605,58,1844,306,0.0064
Senegal,41850,54,2582,1150,0.0275
Madagascar,41840,54,1594,875,0.0209
Uganda,40734,0,1011,334,0.0082
Zimbabwe,39496,64,2605,1626,0.0412
Cambodia,36666,426,2398,300,0.0082
Angola,36325,210,1167,815,0.0224
Sudan,36203,81,854,2719,0.0751
Democratic Republic of the Congo,34694,0,387,831,0.024
Malawi,34447,15,1801,1158,0.0336
Cape Verde,31433,94,57101,271,0.0086
