Location,Confirmed,NewCases,Case_Per_1M_people,Deaths,Mortality
Worldwide,130643579,0,16801,2844807,0.0218
United States,30665489,68844,93051,553903,0.0181
Brazil,12910082,70238,61088,328206,0.0254
India,12392260,89129,9108,164110,0.0132
France,4708648,46807,70199,95683,0.0203
Russia,4511973,8682,30747,97986,0.0217
United Kingdom,4353668,3402,65532,126816,0.0291
Italy,3629000,21917,60239,110328,0.0304
Turkey,3400296,42308,40891,31892,0.0094
Spain,3291394,0,69880,75541,0.023
Germany,2882356,16033,34665,76940,0.0267
Colombia,2428048,10222,49155,63777,0.0263
Poland,2387511,30541,62209,54165,0.0227
Argentina,2373153,9902,52809,56023,0.0236
Mexico,2247357,3089,17755,203854,0.0907
Iran,1908974,11660,22908,62876,0.0329
Ukraine,1762713,20003,42090,35326,0.02
Peru,1568345,6622,48810,52331,0.0334
South Africa,1550724,1273,26384,52946,0.0341
Czechia,1545865,6248,144555,26765,0.0173
Indonesia,1523179,5325,5707,41151,0.027
Netherlands,1287696,7253,73789,16575,0.0129
Chile,1011485,8079,52937,23421,0.0232
Canada,1001645,2686,26374,23050,0.023
Romania,964726,5808,49715,23819,0.0247
Belgium,892585,4665,77451,23083,0.0259
Iraq,862821,5882,22051,14390,0.0167
Israel,833707,251,90818,6220,0.0075
Portugal,822862,548,80071,16868,0.0205
Sweden,813191,0,78695,13498,0.0166
Philippines,771497,15298,7111,13320,0.0173
Pakistan,678165,0,3095,14613,0.0215
Hungary,670776,9055,68637,21262,0.0317
Bangladesh,624594,6830,3710,9155,0.0147
Jordan,622833,4774,58485,7039,0.0113
Serbia,610232,4826,87630,5384,0.0088
Switzerland,605342,2250,70499,10351,0.0171
Austria,552729,3137,62086,9397,0.017
Morocco,497257,581,13868,8835,0.0178
Japan,479953,2714,3811,9191,0.0191
Lebanon,474925,2963,69582,6346,0.0134
United Arab Emirates,465939,2180,47110,1502,0.0032
Saudi Arabia,391325,728,11436,6684,0.0171
Slovakia,363874,1385,66688,9877,0.0271
Panama,355850,351,84348,6126,0.0172
Bulgaria,350340,4013,50048,13438,0.0384
Malaysia,347972,1294,10629,1283,0.0037
Ecuador,332038,1650,19021,16910,0.0509
Belarus,324694,1651,34493,2267,0.007
Kazakhstan,301818,2192,16162,3236,0.0107
Georgia,282789,529,75948,3798,0.0134
Nepal,277640,179,9256,3031,0.0109
Croatia,276416,2362,67811,5996,0.0217
Bolivia,273947,620,23884,12305,0.0449
Greece,270230,3058,25197,8232,0.0305
Azerbaijan,266322,2361,26455,3617,0.0136
Tunisia,256931,1623,21919,8890,0.0346
Dominican Republic,253781,585,24500,3334,0.0131
Palestine,248482,0,49929,2681,0.0108
Ireland,237187,587,48194,4713,0.0199
Kuwait,234754,1233,53110,1327,0.0057
Moldova,233136,1380,86935,5048,0.0217
Denmark,231973,708,39839,2424,0.0104
Slovenia,218114,1175,104158,4063,0.0186
Paraguay,217886,1608,30462,4294,0.0197
Lithuania,217865,860,77991,3594,0.0165
Costa Rica,216764,0,42856,2957,0.0136
Ethiopia,211314,2353,2142,2915,0.0138
Egypt,203546,703,2031,12084,0.0594
Guatemala,195036,280,11746,6875,0.0352
Armenia,194852,1116,65884,3552,0.0182
Honduras,189726,0,20716,4622,0.0244
Qatar,181678,874,66130,298,0.0016
Bosnia and Herzegovina,173478,2154,52553,6763,0.039
Nigeria,163063,66,791,2058,0.0126
Venezuela,162730,979,5051,1629,0.01
Libya,161088,1108,23444,2684,0.0167
Oman,160018,0,34303,1681,0.0105
Bahrain,146454,1074,94897,527,0.0036
Myanmar (Burma),142466,0,2622,3206,0.0225
Kenya,136893,1851,2878,2186,0.016
North Macedonia,132740,1316,63905,3860,0.0291
Albania,125842,336,44218,2247,0.0179
Algeria,117429,125,2731,3099,0.0264
Uruguay,111568,3380,31708,1041,0.0093
Estonia,108418,1165,81618,922,0.0085
South Korea,104736,542,2023,1740,0.0166
Latvia,103588,587,54326,1922,0.0186
Norway,97410,640,18148,673,0.0069
Sri Lanka,93128,211,4271,571,0.0061
Montenegro,91906,333,147674,1296,0.0141
Kosovo,91079,0,50722,1892,0.0208
Ghana,90674,91,2994,744,0.0082
Mainland China,90217,0,64,4636,0.0514
Zambia,88730,181,4961,1215,0.0137
Kyrgyzstan,88700,162,13576,1500,0.0169
Uzbekistan,83239,189,2441,630,0.0076
Finland,78672,566,14233,846,0.0108
Cuba,77353,1077,6901,429,0.0055
Mozambique,67923,194,2259,778,0.0115
El Salvador,64431,0,9934,2017,0.0313
Luxembourg,62105,224,101166,750,0.0121
Singapore,60450,43,10599,30,0.0005
Cameroon,57337,0,2160,851,0.0148
Afghanistan,56572,55,1756,2495,0.0441
Cyprus,46878,705,53520,261,0.0056
Namibia,44581,207,18130,531,0.0119
Côte d'Ivoire,44445,556,1721,250,0.0056
Botswana,40878,0,17478,591,0.0145
Uganda,40734,0,1011,334,0.0082
Jamaica,39967,424,14658,607,0.0152
Senegal,38889,107,2399,1056,0.0272
Zimbabwe,36903,7,2434,1524,0.0413
Malawi,33639,55,1758,1119,0.0333
Sudan,31833,0,751,2063,0.0648
Australia,29341,6,1143,909,0.031
Malta,29127,42,59014,395,0.0136
Thailand,28947,58,435,94,0.0032
Democratic Republic of the Congo,27794,0,310,726,0.0261
Madagascar,24968,272,951,444,0.0178
Maldives,24548,169,65501,67,0.0027
Angola,22467,68,722,538,0.0239
Rwanda,22167,249,1791,310,0.014
Guinea,20228,145,1656,128,0.0063
Gabon,19863,313,9143,119,0.006
Mayotte,19408,0,71783,161,0.0083
Syria,19164,125,1095,1288,0.0672
French Polynesia,18633,0,67531,141,0.0076
Mauritania,17904,26,4391,449,0.0251
Cape Verde,17717,130,32184,171,0.0097
Eswatini,17347,3,15868,668,0.0385
French Guiana,17132,0,58258,93,0.0054
Réunion,16586,0,19287,115,0.0069
Tajikistan,13308,0,1458,90,0.0068
Burkina Faso,12791,17,613,150,0.0117
Haiti,12788,26,1105,252,0.0197
Belize,12456,0,30493,317,0.0254
Andorra,12115,62,156236,116,0.0096
Guadeloupe,11512,0,29093,178,0.0155
Hong Kong,11499,19,1533,205,0.0178
Somalia,11499,0,724,537,0.0467
Togo,10848,194,1439,110,0.0101
Lesotho,10706,0,5334,315,0.0294
Guyana,10446,71,13345,235,0.0225
Mali,10285,86,515,390,0.0379
South Sudan,10219,22,800,112,0.011
Republic of the Congo,9681,0,1754,135,0.0139
Mongolia,9598,757,2899,10,0.001
Aruba,9560,57,85122,86,0.009
The Bahamas,9171,0,23800,188,0.0205
Curaçao,9171,337,57801,42,0.0046
Suriname,9130,8,15704,177,0.0194
Djibouti,8431,251,7818,72,0.0085
Trinidad and Tobago,8116,44,5950,145,0.0179
Martinique,7549,0,20052,50,0.0066
Benin,7313,0,623,93,0.0127
Equatorial Guinea,7008,0,5159,103,0.0147
Nicaragua,6677,0,1034,178,0.0267
Papua New Guinea,6475,363,725,60,0.0093
Iceland,6205,0,17035,29,0.0047
The Gambia,5459,0,2325,165,0.0302
Central African Republic,5245,23,954,72,0.0137
Niger,5021,0,225,187,0.0372
San Marino,4775,45,142223,84,0.0176
Yemen,4620,89,155,916,0.1983
Chad,4573,21,282,164,0.0359
Gibraltar,4275,0,126851,94,0.022
Saint Lucia,4265,20,23867,61,0.0143
Northern Cyprus,4260,0,13067,25,0.0059
Seychelles,4259,124,43626,24,0.0056
Sierra Leone,3987,6,505,79,0.0198
Comoros,3712,8,4248,146,0.0393
Barbados,3665,6,12769,42,0.0115
Guinea-Bissau,3661,0,2282,65,0.0178
Eritrea,3334,26,953,10,0.003
Jersey,3219,0,30140,69,0.0214
Burundi,2842,0,259,6,0.0021
Liechtenstein,2678,3,69111,56,0.0209
Vietnam,2620,3,27,35,0.0134
Cambodia,2546,69,167,16,0.0063
New Zealand,2501,0,503,26,0.0104
Turks and Caicos Islands,2344,7,56661,17,0.0073
Monaco,2320,15,60574,28,0.0121
São Tomé and Príncipe,2236,4,11081,34,0.0152
Sint Maarten,2151,0,52962,27,0.0126
Liberia,2042,0,456,85,0.0416
Saint Vincent and the Grenadines,1754,4,15858,10,0.0057
Saint Martin,1659,0,46411,12,0.0072
Isle of Man,1570,0,18844,29,0.0185
Bermuda,1292,0,20179,12,0.0093
Antigua and Barbuda,1152,5,11944,28,0.0243
Mauritius,1095,56,865,12,0.011
Taiwan,1039,3,44,10,0.0096
Bhutan,889,3,1199,1,0.0011
Guernsey,821,0,0,14,0.0171
Saint Barthélemy,775,0,0,1,0.0013
Timor-Leste,677,34,488,0,0.0
Faroe Islands,661,0,12681,1,0.0015
Tanzania,509,0,9,21,0.0413
Cayman Islands,501,0,7612,2,0.004
Åland Islands,313,0,10473,0,0.0
Brunei,213,0,481,3,0.0141
Caribbean Netherlands,196,0,7542,3,0.0153
