Location,Confirmed,NewCases,Case_Per_1M_people,Deaths,Mortality
Worldwide,140849925,0,18114,3013217,0.0214
United States,31650421,52391,96039,566452,0.0179
India,14788003,261394,10869,177150,0.012
Brazil,13900091,67636,65772,371678,0.0267
France,5221888,35779,77850,99947,0.0191
Russia,4640537,9201,31623,103451,0.0223
United Kingdom,4385938,2206,66018,127260,0.029
Turkey,4212645,62606,50660,35608,0.0085
Italy,3857443,15364,64031,116676,0.0302
Spain,3407283,0,72341,76981,0.0226
Germany,3154305,20197,37935,79971,0.0254
Argentina,2677747,19119,59587,59164,0.0221
Poland,2675874,15786,69722,61825,0.0231
Colombia,2636076,16654,53367,67931,0.0258
Mexico,2304096,4157,18203,212228,0.0921
Iran,2215445,21312,26586,66327,0.0299
Ukraine,1989160,15104,47497,41278,0.0208
Peru,1697626,16563,52834,56797,0.0335
Czechia,1600341,3238,149649,28396,0.0177
Indonesia,1599763,5041,5994,43328,0.0271
South Africa,1565680,1325,26639,53711,0.0343
Netherlands,1395328,8285,79957,16904,0.0121
Canada,1121498,7600,29529,23623,0.0211
Chile,1117348,8037,58478,25055,0.0224
Romania,1027039,3474,52926,26072,0.0254
Iraq,970987,6552,24816,14948,0.0154
Belgium,947000,3787,82173,23718,0.025
Philippines,926052,11081,8536,15810,0.0171
Sweden,900138,0,87109,13788,0.0153
Israel,836883,0,91164,6331,0.0076
Portugal,830560,649,80820,16942,0.0204
Pakistan,756285,6127,3451,16243,0.0215
Hungary,746802,4604,76417,24979,0.0334
Bangladesh,715252,3473,4248,10283,0.0144
Jordan,683466,1596,64179,8178,0.012
Serbia,660299,2583,94819,5954,0.009
Switzerland,632399,0,73650,10505,0.0166
Austria,591347,2048,66424,9870,0.0167
Japan,531109,4802,4217,9593,0.0181
Lebanon,508503,1695,74501,6886,0.0135
Morocco,505447,600,14096,8944,0.0177
United Arab Emirates,495224,1958,50071,1550,0.0031
Saudi Arabia,404054,948,11808,6810,0.0169
Bulgaria,385963,1076,55137,15138,0.0392
Slovakia,375336,750,68789,11043,0.0294
Malaysia,372859,2331,11389,1370,0.0037
Panama,360597,348,85474,6187,0.0172
Ecuador,358157,2193,20517,17641,0.0493
Belarus,342923,1384,36429,2413,0.007
Kazakhstan,338764,2896,18140,3288,0.0097
Greece,313444,2411,29227,9397,0.03
Croatia,306225,2627,75124,6523,0.0213
Azerbaijan,298522,2148,29653,4107,0.0138
Georgia,294540,1219,79104,3925,0.0133
Bolivia,287360,0,25053,12625,0.0439
Tunisia,283976,2199,24226,9717,0.0342
Nepal,283658,768,9456,3075,0.0108
Palestine,280741,1774,56411,3017,0.0107
Dominican Republic,260627,494,25161,3414,0.0131
Kuwait,255860,1388,57885,1440,0.0056
Paraguay,248364,3836,34723,5251,0.0211
Moldova,245494,628,91543,5548,0.0226
Ireland,243238,419,49424,4835,0.0199
Denmark,241731,724,41515,2452,0.0101
Ethiopia,240236,1709,2435,3328,0.0139
Lithuania,232829,1228,83348,3751,0.0161
Slovenia,231593,767,110595,4153,0.0179
Costa Rica,228577,0,45191,3071,0.0134
Egypt,215484,845,2151,12694,0.0589
Guatemala,212307,1640,12786,7190,0.0339
Armenia,207973,870,70321,3859,0.0186
Honduras,200259,577,21866,4954,0.0247
Qatar,195757,827,71255,376,0.0019
Bosnia and Herzegovina,188994,0,57254,7788,0.0412
Venezuela,181903,1294,5646,1888,0.0104
Oman,176668,0,37873,1821,0.0103
Libya,171131,0,24905,2882,0.0168
Nigeria,164207,60,797,2061,0.0126
Bahrain,163113,1024,105691,588,0.0036
Uruguay,162400,2831,46155,1848,0.0114
Kenya,151287,1027,3181,2463,0.0163
North Macedonia,146733,824,70642,4419,0.0301
Myanmar (Burma),142619,2,2625,3206,0.0225
Albania,129456,149,45488,2340,0.0181
Algeria,119486,163,2779,3152,0.0264
Estonia,117011,333,88087,1082,0.0092
South Korea,114115,671,2204,1797,0.0157
Latvia,110997,654,58211,2048,0.0185
Norway,107144,417,19961,708,0.0066
Kosovo,100329,0,55873,2061,0.0205
Sri Lanka,96354,168,4419,615,0.0064
Montenegro,95377,172,153251,1427,0.015
Cuba,92474,1026,8250,512,0.0055
Ghana,91663,118,3027,771,0.0084
Kyrgyzstan,91639,265,14026,1546,0.0169
Zambia,90844,94,5079,1234,0.0136
