Location,Confirmed,NewCases,Case_Per_1M_people,Deaths,Mortality
Worldwide,140849925,0,18114,3013217,0.0214
United States,31761258,70355,96376,567287,0.0179
India,15320972,259167,11261,180530,0.0118
Brazil,13973695,30624,66121,374682,0.0268
France,5256318,6696,78364,100522,0.0191
Russia,4657509,8465,31739,104173,0.0224
United Kingdom,4390783,2963,66091,127274,0.029
Turkey,4323596,55149,51994,36267,0.0084
Italy,3878994,8863,64389,117243,0.0302
Spain,3428354,21071,72788,77102,0.0225
Germany,3167137,11615,38090,80353,0.0254
Argentina,2714475,20461,60404,59476,0.0219
Poland,2695327,7302,70229,62133,0.0231
Colombia,2667136,14189,53995,68748,0.0258
Mexico,2306910,1308,18225,212466,0.0921
Iran,2261435,24346,27138,67130,0.0297
Ukraine,2006197,6630,47904,41755,0.0208
Peru,1707787,10161,53150,57537,0.0337
Indonesia,1609300,4952,6029,43567,0.0271
Czechia,1602711,830,149871,28532,0.0178
South Africa,1567513,744,26670,53757,0.0343
Netherlands,1410950,7117,80852,16938,0.012
Canada,1138194,11787,29969,23712,0.0208
Chile,1131340,6622,59210,25277,0.0223
Romania,1031072,1768,53134,26381,0.0256
Iraq,984950,7775,25173,15026,0.0153
Belgium,951626,1630,82574,23782,0.025
Philippines,945745,9612,8718,16048,0.017
Sweden,900138,0,87109,13788,0.0153
Israel,837218,171,91200,6341,0.0076
Portugal,831221,220,80885,16946,0.0204
Pakistan,766882,5445,3499,16453,0.0215
Hungary,753188,2680,77070,25381,0.0337
Bangladesh,723221,4271,4295,10497,0.0145
Jordan,689482,3509,64744,8308,0.012
Serbia,664972,2604,95490,6026,0.0091
Switzerland,637304,4905,74221,10521,0.0165
Austria,595540,2117,66895,9922,0.0167
Japan,537494,2274,4268,9629,0.0179
Lebanon,511398,995,74925,6959,0.0136
Morocco,505949,138,14110,8952,0.0177
United Arab Emirates,498957,1803,50449,1556,0.0031
Saudi Arabia,405940,970,11863,6834,0.0168
Bulgaria,388815,2434,55545,15412,0.0396
Malaysia,377132,2078,11520,1386,0.0037
Slovakia,376067,93,68923,11172,0.0297
Panama,361044,203,85580,6189,0.0171
Ecuador,360563,17,20655,17703,0.0491
Belarus,345110,887,36661,2433,0.007
Kazakhstan,344140,2541,18428,3294,0.0096
Greece,316879,1606,29547,9540,0.0301
Croatia,308200,410,75609,6601,0.0214
Azerbaijan,301661,995,29965,4169,0.0138
Georgia,295936,578,79479,3949,0.0133
Bolivia,290362,1296,25315,12666,0.0436
Tunisia,287061,1571,24489,9825,0.0342
Nepal,285900,1227,9531,3091,0.0108
Palestine,284280,0,57122,3078,0.0108
Dominican Republic,261531,402,25248,3422,0.0131
Kuwait,258497,1510,58482,1456,0.0056
Paraguay,252443,2278,35293,5384,0.0213
Moldova,246238,341,91820,5591,0.0227
Ireland,243911,403,49560,4836,0.0198
Ethiopia,243631,1603,2469,3392,0.0139
Denmark,243374,741,41797,2459,0.0101
Lithuania,234232,601,83850,3770,0.0161
Slovenia,232311,240,110938,4167,0.0179
Costa Rica,230837,2260,45638,3099,0.0134
Egypt,217186,852,2168,12778,0.0588
Guatemala,213049,315,12831,7241,0.034
Armenia,208818,298,70606,3895,0.0187
Honduras,201677,742,22021,4963,0.0246
Qatar,197476,896,71880,386,0.002
Bosnia and Herzegovina,191154,2160,57908,7938,0.0415
Venezuela,184595,1405,5729,1925,0.0104
Oman,181430,1399,38893,1890,0.0104
Libya,172464,584,25099,2908,0.0169
Uruguay,167033,2289,47472,1971,0.0118
Bahrain,165118,1008,106990,600,0.0036
Nigeria,164303,70,797,2061,0.0125
Kenya,151894,241,3193,2501,0.0165
North Macedonia,147229,135,70881,4478,0.0304
Myanmar (Burma),142644,16,2625,3206,0.0225
Albania,129694,100,45571,2347,0.0181
Algeria,119805,163,2786,3160,0.0264
Estonia,117782,228,88667,1100,0.0093
South Korea,115195,549,2225,1802,0.0156
Latvia,111536,202,58494,2056,0.0184
Norway,108028,518,20126,709,0.0066
Kosovo,101191,0,56353,2080,0.0206
Sri Lanka,97105,309,4454,620,0.0064
Montenegro,95695,144,153762,1438,0.015
Cuba,94571,1060,8437,531,0.0056
Kyrgyzstan,92095,212,14096,1555,0.0169
Ghana,91709,0,3029,771,0.0084
Zambia,90942,24,5085,1236,0.0136
Mainland China,90468,0,65,4636,0.0512
Uzbekistan,86982,302,2551,638,0.0073
Finland,84287,156,15248,891,0.0106
Mozambique,69228,25,2302,800,0.0116
El Salvador,67557,0,10415,2078,0.0308
Luxembourg,65144,398,106116,786,0.0121
Cameroon,64809,0,2441,939,0.0145
Singapore,60851,20,10669,30,0.0005
Afghanistan,57898,105,1797,2546,0.044
Cyprus,49988,0,57070,268,0.0054
Namibia,46773,118,19022,604,0.0129
Côte d'Ivoire,45570,10,1765,274,0.006
Botswana,44702,627,19113,684,0.0153
Jamaica,44136,246,16187,727,0.0165
Thailand,43742,1390,658,104,0.0024
Uganda,40734,0,1011,334,0.0082
Senegal,39821,39,2457,1091,0.0274
Zimbabwe,37859,108,2497,1553,0.041
Malawi,33959,18,1775,1139,0.0335
Sudan,33022,0,779,2281,0.0691
Madagascar,32798,593,1249,552,0.0168
Malta,30026,60,60836,409,0.0136
Australia,29559,16,1152,910,0.0308
