Location,Confirmed,NewCases,Case_Per_1M_people,Deaths,Mortality
Worldwide,152199538,0,19573,3192613,0.021
United States,32580305,39315,98861,582838,0.0179
India,19557457,392488,14375,215542,0.011
Brazil,14754910,28935,69817,407639,0.0276
France,5652247,9888,84266,104819,0.0185
Turkey,4875388,25980,58630,40844,0.0084
Russia,4823255,8697,32868,110862,0.023
United Kingdom,4420201,1671,66534,127538,0.0289
Italy,4044762,9145,67140,121177,0.03
Spain,3524077,0,74821,78216,0.0222
Germany,3416822,16290,41093,83192,0.0243
Argentina,3005196,11394,66873,64252,0.0214
Colombia,2893655,15909,58581,74700,0.0258
Poland,2798617,6475,72921,67924,0.0243
Iran,2534855,0,30419,72484,0.0286
Mexico,2347780,3025,18548,217168,0.0925
Ukraine,2132742,8672,50925,46281,0.0217
Peru,1799445,0,56003,61477,0.0342
Indonesia,1677274,4394,6284,45796,0.0273
Czechia,1634114,0,152807,29343,0.018
South Africa,1584064,1632,26951,54417,0.0344
Netherlands,1502107,5755,86076,17169,0.0114
Canada,1234191,0,32497,24300,0.0197
Chile,1203755,5510,63000,26457,0.022
Iraq,1074930,0,27472,15536,0.0145
Romania,1057655,1083,54504,28282,0.0267
Philippines,1046653,9193,9648,17354,0.0166
Belgium,993434,3205,86202,24258,0.0244
Sweden,973604,0,94219,14048,0.0144
Israel,838554,27,91346,6366,0.0076
Portugal,836947,454,81442,16976,0.0203
Pakistan,829933,4414,3787,18070,0.0218
Hungary,781299,1951,79947,27701,0.0355
Bangladesh,761943,1359,4525,11579,0.0152
Jordan,712077,0,66865,8871,0.0125
Serbia,691920,989,99360,6409,0.0093
Switzerland,659974,0,76861,10027,0.0152
Austria,620485,1615,69697,10233,0.0165
Japan,599253,5989,4758,10281,0.0172
Lebanon,528208,0,77388,7324,0.0139
United Arab Emirates,523795,1847,52960,1593,0.003
Morocco,511562,313,14267,9026,0.0176
Saudi Arabia,419348,0,12255,6979,0.0166
Malaysia,411594,2881,12572,1521,0.0037
Bulgaria,404846,466,57835,16444,0.0406
Ecuador,384589,2727,22031,18724,0.0487
Slovakia,382720,509,70142,11732,0.0307
Panama,364844,268,86480,6235,0.0171
Belarus,361063,1081,38356,2562,0.0071
Greece,346422,0,32302,10453,0.0302
Croatia,334229,2046,81994,7130,0.0213
Nepal,328893,5706,10964,3298,0.01
Kazakhstan,325499,0,17430,3717,0.0114
Azerbaijan,321380,0,31924,4561,0.0142
Georgia,311457,1147,83647,4130,0.0133
Tunisia,310734,1615,26509,10808,0.0348
