Location,Confirmed,NewCases,Case_Per_1M_people,Deaths,Mortality
Worldwide,127528304,0,16401,2790109,0.0219
United States,30351755,45582,92099,549533,0.0181
Brazil,12534688,44326,59311,312206,0.0249
India,12039644,68020,8849,161843,0.0134
France,4513685,36182,67292,94028,0.0208
Russia,4469327,8979,30456,96123,0.0215
United Kingdom,4333042,3862,65222,126592,0.0292
Italy,3532057,19604,58630,107933,0.0306
Spain,3255324,0,69115,75010,0.023
Turkey,3208173,29058,38581,31076,0.0097
Germany,2784652,1727,33490,75959,0.0273
Colombia,2382730,7139,48238,62955,0.0264
Argentina,2308597,7208,51372,55449,0.024
Poland,2250991,29266,58652,51884,0.023
Mexico,2226550,1646,17590,201623,0.0906
Iran,1855674,8751,22269,62397,0.0336
Ukraine,1694568,12041,40463,33571,0.0198
South Africa,1545431,965,26294,52663,0.0341
Peru,1529882,8909,47613,51469,0.0336
Czechia,1515029,4008,141672,25874,0.0171
Indonesia,1496085,4083,5605,40449,0.027
Netherlands,1252437,7430,71769,16465,0.0131
Chile,977243,7330,51145,22754,0.0233
Canada,971718,4573,25586,22900,0.0236
Romania,936618,4439,48266,23114,0.0247
Belgium,870757,4694,75557,22897,0.0263
Iraq,832428,5271,21275,14212,0.0171
Israel,831924,541,90624,6185,0.0074
Portugal,820407,365,79832,16837,0.0205
Sweden,780018,0,75485,13402,0.0172
Philippines,721892,9450,6654,13170,0.0182
Pakistan,659116,4525,3008,14256,0.0216
Hungary,633861,9082,64860,19972,0.0315
Bangladesh,595714,3908,3538,8904,0.0149
Switzerland,592217,0,68970,10300,0.0174
Jordan,589316,7183,55338,6554,0.0111
Serbia,585506,3889,84079,5190,0.0089
Austria,536465,2679,60259,9256,0.0173
Morocco,494659,301,13795,8798,0.0178
Japan,468346,1783,3719,9050,0.0193
Lebanon,461062,2724,67550,6096,0.0132
United Arab Emirates,455197,2128,46024,1481,0.0033
Saudi Arabia,388325,531,11349,6650,0.0171
Slovakia,357910,925,65595,9496,0.0265
Panama,353839,342,83872,6100,0.0172
Malaysia,341944,1302,10445,1255,0.0037
Bulgaria,328753,983,46964,12710,0.0387
Ecuador,324482,1783,18588,16738,0.0516
Belarus,318681,1050,33854,2219,0.007
Kazakhstan,292306,1514,15653,3222,0.011
Georgia,280301,365,75280,3751,0.0134
Nepal,276839,89,9229,3027,0.0109
Bolivia,269628,326,23507,12186,0.0452
Croatia,267222,1321,65556,5893,0.0221
Azerbaijan,256201,1831,25449,3491,0.0136
Greece,254031,1441,23687,7880,0.031
Dominican Republic,251983,401,24327,3304,0.0131
Tunisia,250565,862,21376,8735,0.0349
Palestine,238248,0,47873,2599,0.0109
Ireland,234541,604,47656,4666,0.0199
Kuwait,228299,1121,51650,1286,0.0056
Denmark,228013,964,39159,2414,0.0106
Moldova,226521,861,84468,4827,0.0213
Costa Rica,215178,0,42542,2931,0.0136
Lithuania,213941,494,76586,3551,0.0166
Slovenia,212678,638,101563,4018,0.0189
Paraguay,208655,2058,29171,4063,0.0195
Ethiopia,200563,1769,2033,2801,0.014
Egypt,200050,686,1997,11882,0.0594
Guatemala,193377,327,11646,6802,0.0352
Armenia,190317,777,64351,3464,0.0182
Honduras,187460,445,20469,4558,0.0243
Qatar,177774,639,64709,284,0.0016
Nigeria,162593,104,789,2048,0.0126
Bosnia and Herzegovina,162032,0,49086,6220,0.0384
Libya,156849,733,22827,2618,0.0167
Venezuela,156655,992,4862,1565,0.01
Oman,156087,2249,33461,1661,0.0106
Myanmar (Burma),142385,8,2620,3206,0.0225
Bahrain,141845,1027,91910,513,0.0036
Kenya,130214,884,2738,2117,0.0163
North Macedonia,126938,708,61112,3675,0.029
Albania,124134,493,43618,2210,0.0178
Algeria,116836,86,2717,3080,0.0264
Estonia,103630,892,78013,868,0.0084
South Korea,102141,384,1973,1726,0.0169
Latvia,101040,324,52989,1878,0.0186
Uruguay,97406,2128,27684,915,0.0094
Norway,93150,681,17354,656,0.007
Sri Lanka,92088,249,4224,561,0.0061
Ghana,90287,0,2982,740,0.0082
Mainland China,90159,0,64,4636,0.0514
Montenegro,90083,351,144744,1245,0.0138
Kyrgyzstan,88092,146,13483,1495,0.017
Zambia,87872,289,4913,1200,0.0137
Kosovo,84172,0,46875,1811,0.0215
Uzbekistan,82340,194,2414,626,0.0076
Finland,76003,458,13750,817,0.0107
Cuba,72503,919,6468,415,0.0057
Mozambique,67197,186,2235,764,0.0114
El Salvador,63766,0,9831,2000,0.0314
Luxembourg,60465,0,98494,738,0.0122
Singapore,60300,12,10572,30,0.0005
Afghanistan,56294,4,1747,2470,0.0439
Cameroon,47669,0,1796,721,0.0151
Cyprus,44631,326,50954,252,0.0056
