Location,Confirmed,NewCases,Case_Per_1M_people,Deaths,Mortality
Worldwide,172293942,0,22158,3704724,0.0215
United States,33352860,19497,101205,596482,0.0179
India,28574350,132364,21002,340702,0.0119
Brazil,16803472,83391,79510,469388,0.0279
France,5634526,15393,84002,108982,0.0193
Turkey,5270299,6602,63379,47882,0.0091
Russia,5040390,8807,34348,120604,0.0239
United Kingdom,4499878,5179,67733,127812,0.0284
Italy,4225163,1963,70135,126342,0.0299
Argentina,3884447,32291,86439,79873,0.0206
Germany,3701692,3688,44519,89031,0.0241
Spain,3693012,5250,78407,80049,0.0217
Colombia,3488046,28624,70614,90353,0.0259
Iran,2945100,9657,35342,80658,0.0274
Poland,2874092,565,74887,74075,0.0258
Mexico,2426822,2894,19173,228362,0.0941
Ukraine,2268209,2707,54160,53015,0.0234
Peru,1893334,0,58925,66471,0.0351
Indonesia,1837126,5353,6883,51095,0.0278
South Africa,1680373,5360,28590,56765,0.0338
Czechia,1662608,352,155472,30136,0.0181
Netherlands,1657017,2735,94952,17658,0.0107
Chile,1403101,8128,73433,29598,0.0211
Canada,1389508,0,36586,25679,0.0185
Philippines,1247899,7183,11503,21357,0.0171
Iraq,1214367,4262,31036,16462,0.0136
Romania,1078338,196,55570,30499,0.0283
Sweden,1076993,8520,104224,14512,0.0135
Belgium,1066957,1599,92582,24995,0.0234
Pakistan,928588,1893,4237,21105,0.0227
Portugal,851031,769,82812,17029,0.02
Israel,839532,15,91452,6416,0.0076
Bangladesh,805980,1687,4787,12724,0.0158
Hungary,805302,315,82403,29792,0.037
Japan,755713,2848,6000,13331,0.0176
Jordan,738521,633,69349,9500,0.0129
Serbia,713207,218,102417,6890,0.0097
Switzerland,696801,588,81150,10828,0.0155
Austria,645834,282,72544,10627,0.0165
Malaysia,595374,8209,18186,3096,0.0052
United Arab Emirates,576947,1989,58334,1689,0.0029
Nepal,576936,5825,19233,7630,0.0132
Lebanon,541009,165,79264,7747,0.0143
Morocco,520423,395,14514,9165,0.0176
Saudi Arabia,454217,1261,13274,7408,0.0163
Kazakhstan,447275,1513,23951,3467,0.0078
Ecuador,429817,952,24622,20706,0.0482
Bulgaria,419180,170,59883,17792,0.0424
Greece,406751,1209,37927,12184,0.03
Belarus,396869,879,42160,2882,0.0073
Slovakia,390129,139,71500,12375,0.0317
Bolivia,380457,2429,33170,14832,0.039
Panama,380207,701,90122,6388,0.0168
Paraguay,364702,3262,50988,9498,0.026
Croatia,357109,280,87607,8056,0.0226
Tunisia,350487,1576,29900,12839,0.0366
Georgia,346983,833,93188,4853,0.014
Azerbaijan,334416,128,33219,4929,0.0147
Costa Rica,325779,2181,64409,4124,0.0127
Kuwait,313289,1443,70878,1783,0.0057
Palestine,309644,0,62219,3511,0.0113
Uruguay,304411,2887,86516,4460,0.0147
Dominican Republic,297119,1439,28684,3642,0.0123
Denmark,284117,1028,48794,2517,0.0089
Lithuania,275545,347,98639,4289,0.0156
Ethiopia,272285,249,2760,4185,0.0154
Egypt,265489,932,2650,15222,0.0573
Guatemala,258633,1466,15577,8238,0.0319
Moldova,255354,69,95220,6125,0.024
Ireland,254870,0,51787,4941,0.0194
Slovenia,254692,273,121626,4383,0.0172
Bahrain,246658,1932,159825,1050,0.0043
Honduras,240382,954,26247,6415,0.0267
Venezuela,238013,1258,7387,2689,0.0113
Armenia,222978,108,75394,4448,0.0199
Oman,220702,1173,47312,2385,0.0108
Qatar,218080,198,79380,563,0.0026
Bosnia and Herzegovina,204252,80,61876,9332,0.0457
Sri Lanka,195844,3297,8982,1608,0.0082
Libya,186567,244,27152,3132,0.0168
Kenya,171658,432,3609,3223,0.0188
Thailand,169348,3886,2547,1146,0.0068
Nigeria,166682,122,809,2117,0.0127
North Macedonia,155364,19,74797,5435,0.035
Cuba,145567,1053,12986,985,0.0068
Myanmar (Burma),143945,122,2649,3221,0.0224
South Korea,142852,695,2759,1969,0.0138
Latvia,134162,296,70360,2392,0.0178
Albania,132360,9,46508,2451,0.0185
Algeria,129976,336,3023,3497,0.0269
Estonia,129909,105,97797,1260,0.0097
Norway,126218,289,23515,785,0.0062
Kosovo,107051,12,59616,2248,0.021
Kyrgyzstan,105840,371,16200,1830,0.0173
Uzbekistan,100997,271,2961,693,0.0069
Montenegro,99717,34,160224,1587,0.0159
Zambia,97388,825,5445,1288,0.0132
Ghana,94011,0,3105,785,0.0084
Finland,92913,143,16809,959,0.0103
Mainland China,91194,0,65,4636,0.0508
Cameroon,78929,0,2973,1275,0.0162
Afghanistan,75119,1093,2331,3034,0.0404
El Salvador,74141,439,11431,2260,0.0305
