Location,Confirmed,NewCases,Case_Per_1M_people,Deaths,Mortality
Worldwide,166839883,607681,21456,3456780,0.0207
India,26530132,240842,19500,299266,0.0113
Brazil,16047439,76490,75933,448208,0.0279
France,5863138,0,87410,107390,0.0183
Turkey,5178648,8697,62277,46071,0.0089
Russia,4935302,8585,33632,116144,0.0235
United Kingdom,4446824,0,66934,127668,0.0287
Italy,4188190,4714,69521,125153,0.0299
Germany,3653019,6419,43933,87385,0.0239
Spain,3636453,0,77206,79620,0.0219
Argentina,3514683,32171,78211,73688,0.021
Colombia,3210787,18737,65001,84228,0.0262
Poland,2864546,1515,74638,72882,0.0254
Iran,2823887,8005,33888,78381,0.0278
Mexico,2395330,2586,18924,221597,0.0925
Ukraine,2237240,4730,53420,51260,0.0229
Peru,1893334,0,58925,66471,0.0351
Indonesia,1758898,0,6590,48887,0.0278
Czechia,1657558,684,155000,30012,0.0181
South Africa,1632571,4236,27777,55772,0.0342
Netherlands,1622810,3162,92992,17537,0.0108
Canada,1359157,0,35787,25231,0.0186
Chile,1323413,7500,69262,28386,0.0214
Philippines,1178217,6814,10860,19946,0.0169
Iraq,1164149,3655,29752,16158,0.0139
Romania,1075236,455,55410,29885,0.0278
Sweden,1058341,0,102419,14366,0.0136
Belgium,1047128,2516,90861,24823,0.0237
Pakistan,900552,3084,4109,20251,0.0225
Portugal,844811,523,82207,17017,0.0201
Israel,839308,18,91428,6397,0.0076
Hungary,801672,647,82031,29475,0.0368
Bangladesh,787726,1028,4678,12348,0.0157
Jordan,726432,0,68213,9295,0.0128
Japan,715880,4985,5684,12203,0.017
Serbia,709673,404,101909,6766,0.0095
Switzerland,687353,1201,80050,10775,0.0157
Austria,640876,583,71988,10541,0.0164
United Arab Emirates,554516,1596,56066,1648,0.003
Lebanon,538218,331,78855,7670,0.0143
Morocco,516812,363,14413,9119,0.0176
Nepal,505643,8591,16857,6153,0.0122
Malaysia,505115,6320,15429,2199,0.0044
Saudi Arabia,439847,1142,12854,7237,0.0165
Kazakhstan,427873,2476,22912,3423,0.008
Ecuador,417840,1219,23936,20180,0.0483
Bulgaria,416565,148,59509,17487,0.042
Greece,388929,1503,36265,11734,0.0302
Slovakia,388719,190,71241,12286,0.0316
Belarus,384773,1471,40875,2761,0.0072
Panama,373774,466,88597,6328,0.0169
Croatia,353735,518,86780,7883,0.0223
Bolivia,346070,3005,30172,13857,0.04
Georgia,336840,1071,90464,4602,0.0137
Tunisia,334099,1266,28502,12182,0.0365
Azerbaijan,332235,352,33002,4851,0.0146
Paraguay,330457,3228,46200,8235,0.0249
Palestine,305201,212,61326,3459,0.0113
Costa Rica,299219,0,59157,3765,0.0126
Kuwait,298223,1017,67470,1724,0.0058
Dominican Republic,282685,1055,27291,3606,0.0128
Denmark,272659,751,46826,2507,0.0092
Lithuania,270376,1013,96789,4173,0.0154
Ethiopia,268901,381,2725,4068,0.0151
Uruguay,262009,3469,74465,3811,0.0145
Ireland,254870,0,51787,4941,0.0194
Moldova,254601,102,94939,6072,0.0238
