Location,Confirmed,NewCases,Case_Per_1M_people,Deaths,Mortality
Worldwide,156077747,0,20072,3256034,0.0209
United States,32713671,0,99266,581056,0.0178
India,24046809,343144,17674,262317,0.0109
Brazil,15433989,74592,73030,430417,0.0279
France,5728090,0,85397,105850,0.0185
Turkey,4977982,0,59864,42187,0.0085
Russia,4863514,0,33143,112622,0.0232
United Kingdom,4444631,2656,66901,127651,0.0287
Italy,4139160,8082,68707,123745,0.0299
Spain,3598452,5701,76400,79281,0.022
Germany,3578125,13631,43033,85853,0.024
Argentina,3242103,26531,72145,69254,0.0214
Colombia,3067879,19160,62108,79760,0.026
Poland,2845762,3423,74149,71021,0.025
Iran,2610018,0,31321,73906,0.0283
Mexico,2375115,3632,18764,219901,0.0926
Ukraine,2192022,6934,52341,49261,0.0225
Peru,1810998,0,56362,62126,0.0343
Indonesia,1697305,0,6359,46496,0.0274
Czechia,1641120,0,153463,29521,0.018
South Africa,1590370,0,27059,54620,0.0343
Netherlands,1583767,6013,90755,17413,0.011
Canada,1318399,6611,34714,24869,0.0189
Chile,1266601,6153,66289,27520,0.0217
Philippines,1124724,6365,10367,18821,0.0167
Iraq,1098187,0,28067,15673,0.0143
Romania,1062527,0,54755,28710,0.027
Sweden,1027934,0,99476,14267,0.0139
Belgium,1007264,0,87402,24444,0.0243
Pakistan,873220,2517,3985,19384,0.0222
Portugal,840929,436,81829,16999,0.0202
Israel,838828,0,91376,6374,0.0076
Hungary,795200,1416,81369,28970,0.0364
Bangladesh,769160,0,4568,11796,0.0153
Jordan,717930,0,67415,9014,0.0126
Serbia,697241,0,100124,6499,0.0093
Switzerland,669067,0,77920,10110,0.0151
Japan,667251,6367,5298,11249,0.0169
Austria,634893,933,71315,10444,0.0165
Lebanon,531234,0,77831,7415,0.014
United Arab Emirates,530944,0,53683,1604,0.003
Morocco,514670,238,14354,9091,0.0177
Malaysia,458077,4855,13992,1788,0.0039
Nepal,431191,8842,14375,4466,0.0104
Saudi Arabia,423406,0,12374,7032,0.0166
Bulgaria,413320,506,59045,17194,0.0416
Ecuador,405783,1151,23245,19442,0.0479
Slovakia,386868,328,70902,12135,0.0314
Panama,366364,0,86841,6255,0.0171
Belarus,364951,0,38769,2602,0.0071
Greece,355445,0,33143,10847,0.0305
Croatia,348158,1064,85411,7623,0.0219
Kazakhstan,337652,0,18081,3858,0.0114
Georgia,326441,776,87671,4379,0.0134
Tunisia,324823,720,27710,11693,0.036
Azerbaijan,324685,0,32252,4635,0.0143
Bolivia,314190,0,27393,13151,0.0419
Paraguay,307457,2568,42985,7427,0.0242
Palestine,303270,0,60938,3401,0.0112
Kuwait,281772,0,63748,1621,0.0058
Costa Rica,279926,3039,55343,3514,0.0126
Dominican Republic,274319,822,26483,3560,0.013
Denmark,263514,1355,45256,2499,0.0095
Ethiopia,260802,0,2643,3822,0.0147
Lithuania,255384,0,91422,4019,0.0157
Ireland,254450,437,51702,4937,0.0194
Moldova,252153,0,94026,5912,0.0234
Slovenia,244556,0,116786,4282,0.0175
Egypt,234015,0,2335,13714,0.0586
Guatemala,232439,0,13999,7677,0.033
Uruguay,231901,3799,65908,3318,0.0143
Armenia,218325,0,73821,4192,0.0192
Honduras,217595,0,23759,5502,0.0253
Venezuela,211838,890,6575,2352,0.0111
Qatar,209470,0,76246,493,0.0024
Bosnia and Herzegovina,200353,0,60695,8762,0.0437
Oman,199572,0,42783,2083,0.0104
Bahrain,184697,0,119677,670,0.0036
Libya,179193,0,26079,3059,0.0171
Nigeria,165612,53,803,2066,0.0125
Kenya,162098,0,3408,2850,0.0176
North Macedonia,153461,0,73881,5042,0.0329
Myanmar (Burma),143004,7,2632,3212,0.0225
Albania,131890,45,46343,2426,0.0184
South Korea,130380,747,2518,1893,0.0145
Algeria,124889,207,2904,3355,0.0269
Estonia,124529,0,93746,1193,0.0096
Latvia,121509,0,63724,2178,0.0179
Sri Lanka,119424,0,5477,734,0.0061
Norway,118315,320,22043,774,0.0065
Kosovo,105711,0,58870,2191,0.0207
Kyrgyzstan,99645,329,15251,1681,0.0169
Montenegro,98042,0,157533,1526,0.0156
Uzbekistan,93176,0,2732,657,0.0071
Ghana,92828,0,3066,783,0.0084
Zambia,91946,0,5141,1256,0.0137
Mainland China,90815,0,65,4636,0.051
Finland,88078,0,15934,919,0.0104
Thailand,78855,0,1186,363,0.0046
Cameroon,74733,0,2815,1144,0.0153
Mozambique,70108,0,2332,819,0.0117
El Salvador,69997,0,10792,2143,0.0306
Cyprus,68442,0,78139,328,0.0048
Luxembourg,68020,0,110801,801,0.0118
Afghanistan,63045,327,1956,2721,0.0432
Singapore,61311,0,10750,31,0.0005
Namibia,49460,0,20114,674,0.0136
Jamaica,46338,0,16994,798,0.0172
Côte d'Ivoire,46315,0,1794,291,0.0063
Botswana,44956,0,19221,724,0.0161
Mongolia,43201,0,13049,153,0.0035
Uganda,40719,0,1010,334,0.0082
Senegal,40578,0,2503,1116,0.0275
Zimbabwe,38398,0,2533,1575,0.041
Madagascar,38116,0,1452,690,0.0181
Malawi,34151,0,1785,1152,0.0337
Sudan,33648,0,794,2365,0.0703
Maldives,33368,0,89035,77,0.0023
Malta,30420,0,61634,416,0.0137
