Location,Confirmed,NewCases,Case_Per_1M_people,Deaths,Mortality
Worldwide,173427800,0,22303,3731634,0.0215
United States,33382877,6067,101296,597533,0.0179
India,28909975,100636,21249,349186,0.0121
Brazil,16947062,39637,80190,473404,0.0279
France,5652705,4755,84273,109144,0.0193
Turkey,5287980,5386,63592,48164,0.0091
Russia,5067246,9025,34531,121711,0.024
United Kingdom,4516892,5223,67989,127840,0.0283
Italy,4232428,2275,70255,126523,0.0299
Argentina,3955439,16415,88019,81214,0.0205
Germany,3708898,1964,44605,89249,0.0241
Spain,3697981,0,78513,80196,0.0217
Colombia,3571067,24050,72295,91961,0.0258
Iran,2966363,5612,35597,81063,0.0273
Poland,2875136,312,74914,74152,0.0258
Mexico,2433681,1979,19227,228804,0.094
Ukraine,2273708,1075,54291,53258,0.0234
Peru,1893334,0,58925,66471,0.0351
Indonesia,1856038,5832,6954,51612,0.0278
South Africa,1696564,5073,28865,56974,0.0336
Czechia,1663517,154,155557,30159,0.0181
Netherlands,1663050,1530,95298,17678,0.0106
Chile,1427956,7690,74734,29937,0.021
Canada,1394145,0,36708,25761,0.0185
Philippines,1269478,7205,11702,21898,0.0172
Iraq,1224992,3314,31307,16538,0.0135
Romania,1078863,121,55597,30815,0.0286
Sweden,1078062,0,104327,14523,0.0135
Belgium,1070802,928,92916,25033,0.0234
Pakistan,933630,1490,4260,21323,0.0228
Portugal,852646,612,82970,17034,0.02
Israel,839571,5,91457,6418,0.0076
Bangladesh,810990,1676,4817,12839,0.0158
Hungary,806008,137,82475,29854,0.037
Japan,762980,2027,6058,13531,0.0177
Jordan,739847,528,69473,9530,0.0129
Serbia,713678,116,102485,6917,0.0097
Switzerland,697292,0,81207,10832,0.0155
Austria,646800,362,72653,10639,0.0164
Malaysia,616815,6241,18841,3378,0.0055
Nepal,588124,3024,19606,7898,0.0134
United Arab Emirates,583071,1874,58953,1699,0.0029
Lebanon,541557,134,79344,7763,0.0143
Morocco,521426,231,14542,9178,0.0176
Saudi Arabia,457546,984,13371,7456,0.0163
Kazakhstan,450868,1010,24144,3473,0.0077
Ecuador,432353,924,24767,20809,0.0481
Bulgaria,419473,47,59924,17820,0.0425
Greece,409368,579,38171,12277,0.03
Belarus,399852,943,42477,2910,0.0073
Slovakia,390436,96,71556,12404,0.0318
Bolivia,387162,1428,33755,15024,0.0388
Panama,382475,526,90659,6402,0.0167
Paraguay,373165,2144,52171,9874,0.0265
Croatia,357565,157,87719,8086,0.0226
Tunisia,355732,1950,30347,12980,0.0365
Georgia,349098,504,93756,4910,0.0141
Azerbaijan,334715,68,33248,4941,0.0148
Costa Rica,327979,0,64844,4153,0.0127
Kuwait,317197,1297,71762,1795,0.0057
Uruguay,316535,3832,89962,4640,0.0147
Palestine,310026,0,62296,3517,0.0113
Dominican Republic,301078,1397,29066,3654,0.0121
Denmark,286489,853,49202,2518,0.0088
Lithuania,276453,197,98964,4307,0.0156
Ethiopia,272914,109,2766,4209,0.0154
Egypt,267972,801,2674,15352,0.0573
Guatemala,261958,566,15777,8294,0.0317
Moldova,255453,21,95257,6134,0.024
Slovenia,255375,157,121952,4388,0.0172
Ireland,254870,0,51787,4941,0.0194
Bahrain,251078,1496,162689,1119,0.0045
Venezuela,242138,1424,7515,2719,0.0112
Honduras,241826,252,26405,6479,0.0268
Oman,223879,3177,47993,2413,0.0108
Armenia,223180,37,75462,4458,0.02
Qatar,218627,172,79579,569,0.0026
Sri Lanka,205333,2976,9418,1696,0.0083
Bosnia and Herzegovina,204304,0,61892,9374,0.0459
Libya,187281,328,27256,3143,0.0168
Thailand,177467,2671,2669,1236,0.007
Kenya,172491,166,3626,3287,0.0191
Nigeria,166767,11,809,2117,0.0127
North Macedonia,155417,10,74823,5455,0.0351
Cuba,148918,1087,13285,1012,0.0068
South Korea,144637,485,2793,1974,0.0136
Myanmar (Burma),144317,64,2656,3225,0.0223
Latvia,134812,135,70701,2413,0.0179
Albania,132379,5,46515,2451,0.0185
Algeria,130958,277,3046,3518,0.0269
Estonia,130119,51,97955,1263,0.0097
Norway,126817,128,23626,785,0.0062
Kosovo,107058,0,59620,2249,0.021
Kyrgyzstan,106973,337,16373,1847,0.0173
Uzbekistan,101722,286,2983,696,0.0068
Zambia,100278,738,5607,1308,0.013
Montenegro,99812,21,160377,1592,0.0159
Ghana,94228,40,3112,787,0.0084
Finland,93226,68,16866,959,0.0103
Mainland China,91267,0,65,4636,0.0508
Afghanistan,79224,1261,2458,3145,0.0397
Cameroon,78929,0,2973,1275,0.0162
El Salvador,74141,0,11431,2270,0.0306
Mozambique,71114,32,2365,837,0.0118
Luxembourg,70182,0,114323,818,0.0117
Maldives,67950,412,181309,185,0.0027
Mongolia,66443,2465,20070,313,0.0047
Singapore,62196,20,10905,33,0.0005
Namibia,58707,650,23875,912,0.0155
Botswana,56217,0,24036,866,0.0154
Cyprus,49988,0,57070,268,0.0054
Jamaica,48810,0,17901,960,0.0197
Côte d'Ivoire,47490,14,1839,306,0.0064
Madagascar,41690,59,1588,861,0.0207
Senegal,41680,49,2571,1146,0.0275
Uganda,40734,0,1011,334,0.0082
Zimbabwe,39189,21,2585,1606,0.041
Angola,35772,178,1149,797,0.0223
Sudan,35656,0,841,2697,0.0756
Malawi,34390,6,1798,1157,0.0336
Cambodia,34244,631,2240,263,0.0077
Democratic Republic of the Congo,33201,0,371,804,0.0242
Cape Verde,31097,94,56490,267,0.0086
Malta,30571,3,61940,419,0.0137
Australia,30195,20,1176,910,0.0301
Rwanda,27245,34,2202,360,0.0132
Trinidad and Tobago,26410,218,19362,577,0.0218
Réunion,26075,0,30321,203,0.0078
Syria,24659,20,1409,1793,0.0727
Gabon,24591,0,11319,154,0.0063
French Guiana,24534,0,83429,121,0.0049
Guinea,23255,0,1903,162,0.007
Mauritania,19817,32,4860,468,0.0236
