Location,Confirmed,NewCases,Case_Per_1M_people,Deaths,Mortality
Worldwide,176412684,0,22687,3815164,0.0216
United States,33452575,10655,101508,599868,0.0179
India,29570881,60471,21735,377031,0.0128
Brazil,17452612,39846,82582,488228,0.028
France,5678893,684,84664,109572,0.0193
Turkey,5336073,5626,64170,48795,0.0091
Russia,5162049,13550,35177,124681,0.0242
United Kingdom,4573419,7606,68840,127907,0.028
Italy,4245779,907,70477,127038,0.0299
Argentina,4145482,21292,92247,86029,0.0208
Colombia,3777600,24376,76476,96366,0.0255
Spain,3741767,8167,79442,80517,0.0215
Germany,3724168,873,44789,89944,0.0242
Iran,3039432,10715,36474,82217,0.0271
Poland,2877608,139,74979,74574,0.0259
Mexico,2455351,1175,19398,230187,0.0937
Ukraine,2284337,591,54545,53812,0.0236
Peru,1983570,0,61733,186511,0.094
Indonesia,1919547,8189,7192,53116,0.0277
South Africa,1752630,5548,29819,57879,0.033
Netherlands,1673596,852,95902,17714,0.0106
Czechia,1665138,41,155709,30229,0.0182
Chile,1482663,6190,77597,30804,0.0208
Canada,1404104,806,36970,25972,0.0185
Philippines,1322053,6414,12186,22845,0.0173
Iraq,1259683,5040,32194,16736,0.0133
Sweden,1083456,0,104849,14574,0.0135
Romania,1079776,50,55644,31861,0.0295
Belgium,1076579,241,93417,25093,0.0233
Pakistan,943027,838,4303,21782,0.0231
Portugal,858072,625,83498,17047,0.0199
Israel,839690,24,91469,6428,0.0077
Bangladesh,829972,3050,4929,13172,0.0159
Hungary,807045,255,82581,29925,0.0371
Japan,776565,941,6166,14083,0.0181
Jordan,743877,546,69852,9602,0.0129
Serbia,715015,124,102677,6970,0.0097
Switzerland,700735,684,81608,10861,0.0155
Malaysia,662457,4949,20235,3968,0.006
Austria,648732,112,72870,10662,0.0164
Nepal,610521,2049,20353,8465,0.0139
United Arab Emirates,599823,1837,60647,1730,0.0029
Lebanon,542649,274,79504,7801,0.0144
Morocco,523999,109,14614,9213,0.0176
Saudi Arabia,466906,1109,13645,7590,0.0163
Kazakhstan,459212,1738,24590,3502,0.0076
Ecuador,439139,205,25156,21051,0.0479
Bulgaria,420493,157,60070,17915,0.0426
Greece,415401,468,38733,12437,0.0299
Bolivia,409106,2152,35668,15614,0.0382
Belarus,406360,697,43168,2987,0.0074
Paraguay,393482,2046,55012,10954,0.0278
Slovakia,391038,12,71666,12441,0.0318
Panama,388325,483,92046,6451,0.0166
Tunisia,370224,1316,31584,13567,0.0366
Croatia,358581,18,87968,8152,0.0227
Georgia,354276,311,95147,5060,0.0143
Costa Rica,343604,3704,67933,4388,0.0128
Uruguay,340818,2305,96863,5036,0.0148
Azerbaijan,335196,25,33296,4955,0.0148
Kuwait,329526,1563,74552,1828,0.0055
Palestine,311690,0,62630,3539,0.0114
Dominican Republic,309477,827,29877,3708,0.012
Denmark,290111,237,49824,2526,0.0087
Lithuania,277812,66,99450,4342,0.0156
Ethiopia,274346,159,2781,4250,0.0155
Egypt,273795,613,2732,15654,0.0572
Guatemala,271990,287,16381,8465,0.0311
Bahrain,259523,792,168161,1236,0.0048
Slovenia,256467,24,122474,4406,0.0172
Moldova,255830,33,95397,6154,0.0241
Ireland,254870,0,51787,4941,0.0194
Venezuela,252883,1197,7849,2845,0.0113
Honduras,248115,387,27092,6653,0.0268
Oman,236440,1806,50686,2532,0.0107
