Location,Confirmed,NewCases,Case_Per_1M_people,Deaths,Mortality
Worldwide,140849925,0,18114,3013217,0.0214
United States,31821943,58955,96560,568131,0.0179
India,15616130,295158,11478,182553,0.0117
Brazil,14043076,69381,66449,378003,0.0269
France,5300321,44003,79020,100895,0.019
Russia,4665553,8044,31794,104545,0.0224
United Kingdom,4393307,2524,66129,127307,0.029
Turkey,4384624,61028,52728,36613,0.0084
Italy,3891063,12069,64589,117633,0.0302
Spain,3428354,0,72788,77102,0.0225
Germany,3198534,31397,38467,80680,0.0252
Argentina,2743620,29145,61052,59792,0.0218
Poland,2704571,9244,70470,62734,0.0232
Colombia,2684101,16965,54339,69177,0.0258
Mexico,2311172,4262,18259,213048,0.0922
Iran,2286927,25492,27444,67525,0.0295
Ukraine,2015257,9060,48120,42129,0.0209
Peru,1719088,11301,53502,57954,0.0337
Indonesia,1614849,5549,6050,43777,0.0271
Czechia,1606030,3319,150181,28640,0.0178
South Africa,1568366,853,26684,53887,0.0344
Netherlands,1417772,6822,81243,16965,0.012
Canada,1145764,6427,30168,23763,0.0207
Chile,1136189,4849,59464,25317,0.0223
Romania,1034003,2931,53285,26618,0.0257
Iraq,993158,8208,25382,15060,0.0152
Belgium,955056,3430,82872,23834,0.025
Philippines,953106,7361,8785,16141,0.0169
Sweden,916830,16692,88724,13825,0.0151
Israel,837357,139,91215,6345,0.0076
Portugal,831645,424,80926,16951,0.0204
Pakistan,772381,5499,3524,16600,0.0215
Hungary,754833,1645,77238,25580,0.0339
Bangladesh,727780,4559,4322,10588,0.0145
Jordan,692181,2699,64997,8372,0.0121
Serbia,667937,2965,95916,6058,0.0091
Switzerland,639445,2141,74471,10532,0.0165
Austria,597566,2026,67123,9959,0.0167
Japan,542467,4973,4307,9682,0.0178
Lebanon,513006,1608,75161,6995,0.0136
Morocco,506669,720,14130,8959,0.0177
United Arab Emirates,500860,1903,50641,1559,0.0031
Saudi Arabia,407010,1070,11895,6846,0.0168
Bulgaria,390911,2096,55844,15518,0.0397
Malaysia,379473,2341,11591,1389,0.0037
Slovakia,376709,642,69040,11244,0.0298
Panama,361319,275,85645,6192,0.0171
Ecuador,361154,591,20689,17744,0.0491
Kazakhstan,346971,2831,18580,3297,0.0095
Belarus,345998,888,36756,2443,0.0071
Greece,320629,3750,29897,9627,0.03
Croatia,310306,2106,76125,6643,0.0214
Azerbaijan,303858,2197,30183,4203,0.0138
Georgia,297728,1792,79960,3959,0.0133
Bolivia,291675,1313,25430,12695,0.0435
Tunisia,289230,2169,24674,9918,0.0343
Nepal,287567,1667,9587,3102,0.0108
Palestine,280741,0,56411,3017,0.0107
Dominican Republic,261848,317,25279,3426,0.0131
Kuwait,259868,1371,58792,1468,0.0056
Paraguay,255046,2603,35657,5470,0.0214
Moldova,246691,453,91989,5616,0.0228
Ethiopia,245155,1524,2485,3439,0.014
Ireland,244297,386,49639,4847,0.0198
Denmark,244065,691,41916,2463,0.0101
Lithuania,235383,1151,84262,3785,0.0161
Slovenia,233031,720,111282,4172,0.0179
Costa Rica,231967,1130,45861,3104,0.0134
Egypt,218041,855,2176,12820,0.0588
Guatemala,214700,1651,12931,7279,0.0339
Armenia,209485,667,70832,3919,0.0187
Honduras,202413,736,22101,4976,0.0246
Qatar,198361,885,72203,391,0.002
Bosnia and Herzegovina,191876,722,58127,8025,0.0418
Venezuela,185736,1141,5765,1944,0.0105
Oman,182693,1263,39164,1909,0.0104
Libya,173089,625,25190,2919,0.0169
Uruguay,169327,2294,48124,2022,0.0119
Bahrain,166157,1039,107663,605,0.0036
Nigeria,164423,120,798,2061,0.0125
Kenya,152523,629,3207,2519,0.0165
North Macedonia,147995,766,71250,4509,0.0305
Myanmar (Burma),142644,0,2625,3206,0.0225
Albania,129842,148,45623,2353,0.0181
Algeria,119992,187,2791,3165,0.0264
Estonia,118317,535,89070,1104,0.0093
South Korea,115926,731,2239,1806,0.0156
Latvia,112224,688,58855,2071,0.0185
Norway,108342,314,20185,709,0.0065
Kosovo,101832,641,56710,2105,0.0207
Sri Lanka,97472,367,4471,620,0.0064
Montenegro,95894,199,154081,1441,0.015
Cuba,95754,1183,8542,538,0.0056
Kyrgyzstan,92320,225,14130,1557,0.0169
Ghana,91709,0,3029,771,0.0084
Zambia,91042,100,5090,1236,0.0136
Mainland China,90468,0,65,4636,0.0512
Uzbekistan,87225,243,2558,639,0.0073
Finland,84501,214,15287,893,0.0106
Mozambique,69309,81,2305,802,0.0116
El Salvador,67851,294,10461,2082,0.0307
Luxembourg,65319,175,106401,786,0.012
Cameroon,64809,0,2441,939,0.0145
Singapore,60865,14,10671,30,0.0005
Afghanistan,58037,139,1801,2549,0.0439
Cyprus,49988,0,57070,268,0.0054
Namibia,46875,102,19063,608,0.013
Côte d'Ivoire,45614,44,1766,275,0.006
Thailand,45185,1443,680,108,0.0024
Botswana,44702,0,19113,684,0.0153
Jamaica,44254,118,16230,738,0.0167
Uganda,40734,0,1011,334,0.0082
Senegal,39836,15,2458,1095,0.0275
Zimbabwe,37875,16,2498,1554,0.041
Malawi,33968,9,1776,1142,0.0336
Madagascar,33202,404,1265,563,0.017
Sudan,33083,61,780,2287,0.0691
Malta,30039,13,60862,411,0.0137
Australia,29578,19,1152,910,0.0308
Democratic Republic of the Congo,29084,0,325,748,0.0257
Maldives,26667,162,71155,71,0.0027
Mongolia,25364,1169,7661,56,0.0022
Angola,24661,143,792,565,0.0229
Rwanda,24005,71,1940,327,0.0136
Gabon,22032,0,10141,136,0.0062
Guinea,21633,21,1771,139,0.0064
Syria,21433,154,1225,1468,0.0685
Cape Verde,20781,154,37750,194,0.0093
Mayotte,19849,60,73414,169,0.0085
French Polynesia,18720,12,67846,141,0.0075
Réunion,18425,0,21425,135,0.0073
Eswatini,18417,0,16846,671,0.0364
Mauritania,18156,14,4453,454,0.025
French Guiana,18081,0,61485,95,0.0053
Somalia,13324,0,838,678,0.0509
Tajikistan,13308,0,1458,90,0.0068
Mali,13246,101,663,444,0.0335
Burkina Faso,13167,19,631,155,0.0118
Guadeloupe,12927,0,32669,194,0.015
Haiti,12918,0,1116,251,0.0194
Andorra,12874,69,166024,123,0.0096
Togo,12610,57,1673,121,0.0096
Belize,12568,10,30767,318,0.0253
Guyana,11972,71,15294,273,0.0228
Curaçao,11903,0,75020,90,0.0076
Hong Kong,11703,8,1560,209,0.0179
Lesotho,10720,0,5341,316,0.0295
Djibouti,10557,47,9790,123,0.0117
South Sudan,10478,5,820,114,0.0109
Aruba,10399,54,92593,94,0.009
Republic of the Congo,10084,0,1827,137,0.0136
Papua New Guinea,9952,0,1114,91,0.0091
The Bahamas,9791,0,25409,194,0.0198
Martinique,9758,0,25919,66,0.0068
Suriname,9687,106,16662,188,0.0194
Trinidad and Tobago,9135,171,6697,157,0.0172
Benin,7720,109,658,97,0.0126
Equatorial Guinea,7505,246,5525,106,0.0141
Cambodia,7444,431,487,49,0.0066
Nicaragua,6835,57,1058,181,0.0265
Iceland,6350,21,17433,29,0.0046
Central African Republic,5929,142,1079,79,0.0133
Yemen,5918,60,198,1138,0.1923
The Gambia,5784,64,2464,170,0.0294
Northern Cyprus,5410,0,16595,28,0.0052
Niger,5140,9,230,191,0.0372
San Marino,5040,10,150116,88,0.0175
Seychelles,5012,36,51339,25,0.005
Chad,4723,15,291,169,0.0358
Saint Lucia,4419,0,24729,69,0.0156
Gibraltar,4291,0,127326,94,0.0219
Sierra Leone,4041,3,511,79,0.0195
Comoros,3820,1,4372,146,0.0382
Barbados,3793,9,13215,44,0.0116
Guinea-Bissau,3713,1,2314,66,0.0178
Burundi,3643,166,333,6,0.0016
Eritrea,3548,11,1015,10,0.0028
Jersey,3233,0,30272,52,0.0161
Liechtenstein,2836,13,73189,56,0.0197
Vietnam,2800,9,29,35,0.0125
New Zealand,2599,2,522,26,0.01
Monaco,2413,9,63003,31,0.0128
Turks and Caicos Islands,2369,0,57265,17,0.0072
São Tomé and Príncipe,2283,8,11314,35,0.0153
Bermuda,2214,0,34579,20,0.009
Sint Maarten,2211,4,54439,27,0.0122
Liberia,2042,0,456,85,0.0416
Saint Vincent and the Grenadines,1819,0,16445,10,0.0055
Saint Martin,1702,0,47614,12,0.0071
Isle of Man,1577,0,18928,29,0.0184
Timor-Leste,1452,84,1047,2,0.0014
Antigua and Barbuda,1217,0,12618,31,0.0255
Mauritius,1203,0,950,15,0.0125
Taiwan,1078,2,46,11,0.0102
Bhutan,966,5,1302,1,0.001
Saint Barthélemy,934,0,0,1,0.0011
Guernsey,822,0,0,14,0.017
Faroe Islands,663,1,12720,1,0.0015
Cayman Islands,531,6,8068,2,0.0038
Tanzania,509,0,9,21,0.0413
